emotion,n_1,n_0,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,255,1831,0.5238649853035183,0.1199201187133809,0.24920217863130018,0.25641682255269466,1.173005512355594,0.8692116525938647,0.25026993749094795,1.3016576326024785,0.4119511179585641,0.43979132412139904,-0.07175271770371028,0.08358601401544735,0.7313547185479015,0.5185465019899452
Adoration,242,1844,0.933935835473397,-1.0840016740546794,-0.8058905526540886,0.762550983550412,-0.10132967233865177,0.763563339937271,0.9093574652830724,-0.890987971616798,0.7166935492127529,0.41307385982790673,-0.7774676330151659,0.9538314318444352,0.48459394377336434,1.0706754721567395
Aesthetic-Appreciation,486,1600,0.5697413180673944,-0.8946778227909852,-0.3896981155599432,0.44314209972509516,-0.1728342379984125,0.4896914919618253,0.6653341682209286,-0.5984396430342471,0.21025025990671173,0.1702588494275102,-0.8436548728539053,0.860245253427813,0.26496711025759323,0.6896343930401138
Amusement,507,1579,0.49827780887092366,-0.19761239043451206,-0.48396951858061427,0.21079232992274072,-0.36890719740903033,0.3648696147638402,0.7858313351305202,-0.3607123304952312,0.3668268469082708,-0.1976434292760497,-0.26516173128429266,0.5964594442630167,0.42919643756070425,0.5936112139596124
Anger,22,2064,-1.6761202842451206,0.9320721095474557,0.6644066680251479,0.007834583248276223,-0.43652648348169204,-1.4309436079055764,-1.3183006786099902,0.36456035501172146,-2.6330794682496594,-0.23736286037743382,1.7677827875294598,-1.5102326290493806,-1.7352709355491043,-1.8641482341278708
Anxiety,321,1765,-1.7403052116294178,1.257115995216109,1.0642631195085368,-0.9933455733751128,-0.05825058826063017,-1.2547466933109082,-1.6962722384871602,0.6831184336482545,-0.8221805936558683,-0.43734727212949764,1.3594482614175634,-2.054317265585869,-1.246648623364537,-1.711133830454465
Awe,431,1655,0.07412517696956768,0.6141133738539831,0.9481293107710694,-0.24792457632076437,0.3758478470216979,-0.27528256487934877,-0.43112048749354054,0.41306935116829924,0.16096384328391927,0.21298629243709893,-0.19904272095433106,-0.3987785366628694,0.26468071136066706,0.22463589402642944
Awkwardness,53,2033,-0.41174223878252136,-0.1628246244874498,-0.4928202991779086,-0.34037720206085115,-0.5774112111630292,-0.22267213225652976,0.10842254640621725,-0.33516223498605724,-0.09938550908506931,-0.5990897830429185,0.1903525460022133,0.21355124392892985,-0.4054599554940576,-0.4258833703946399
Boredom,20,2066,-0.698634195970751,-1.40896959716097,-2.023890029819701,0.021781844328635943,-0.7127433044901966,0.534049035446833,0.44895804436839837,-0.7412822255622586,0.15567057964216383,-0.37995592079533896,-0.18701298580689443,0.6625671677213881,-0.46358109511658163,-0.4772563016326941
Calmness,429,1657,0.4215961260213626,-1.8841631093584152,-1.1806915159696967,0.6563084726041031,-0.2510510980092217,0.710852339172692,0.8043984298060332,-0.9427878088057507,0.4209297184822895,0.2474820918604677,-0.8336947965864545,0.9346553897137975,0.20551178091382016,0.6533653642102719
Confusion,27,2059,-0.4849375260363493,-0.20943570821707647,-0.3328830938696215,-2.6706849657629004,-0.4046404614896401,-0.2746207317120802,-0.03919887447445244,0.379711048163969,0.04932890972716022,-0.6260668349493581,0.18456831425025375,0.14551294950267643,-0.48934632146742374,-0.6993150079980589
Contempt,7,2079,-1.4264299694618578,0.06311604566459991,-0.28864933636163465,0.3049870850619002,-0.21728944120709903,-0.7399044260593474,-0.683588299023892,-0.24727485167803434,-1.9720669865669316,-0.3905229592414724,0.8068147850179054,-0.594241411714273,-1.269978808146624,-1.3796774099235134
Craving,46,2040,1.0850914823276243,-0.6267060352717609,-0.38703658708262134,0.9052646234661719,-0.3664967200316148,0.5167194653194638,0.8246905712906292,-0.8842627230565184,0.11419103668824156,0.6176909416069789,-0.7006477805512058,0.8737668221858576,0.3482834207141388,0.7712292926766029
Disappointment,3,2083,-1.1620012397670063,-0.18914196593457283,-0.32884032735590846,0.3768925080427003,-0.3484331305582987,-1.2731812575516805,-0.8052444256963548,-0.048690320405543594,-0.7397588704000849,-1.2629110501478755,1.7274435713068321,-0.1458464823176844,-1.637302015643647,-1.2866165952726005
Disgust,125,1961,-1.5363975991187226,0.5579075517676167,0.34041018975923976,-0.11941522009073943,-0.6435110358725914,-0.6586059903155194,-0.8400458028901958,-0.026681396870412252,-0.8071350280563145,-0.7826892151163027,0.23814954490582776,-0.5721744391730824,-1.1630712334563258,-1.7175115586073006
Empathic-Pain,139,1947,-1.4559500170112127,0.7385446307332725,0.7225630778463112,-0.16334389056104126,-0.11586748911635474,-1.384038631308893,-1.5083562461452917,0.5712833054609386,-1.6077916681379472,-0.2604271041819882,1.9703262025295274,-1.4710958895762338,-1.6146517608723916,-1.9711800119489136
Entrancement,82,2004,0.4756454314353775,-0.28448104676579616,0.1936271602888434,-0.0296521342738893,0.12230065421747652,-0.0276920406310656,0.16587286760569292,-0.3723481433199162,0.14866044255000266,0.019312943439157876,-0.6386884221246921,0.5252493099376283,0.15654140734864153,0.42963258484108574
Envy,0,2086,,,,,,,,,,,,,,
Excitement,215,1871,0.7168473133196557,1.3747341854846487,0.9809349395144445,-0.30841509987224547,1.2565381763864414,0.10604239101603846,-0.21143188444003888,1.3186195456339962,0.5278954458598923,0.4450673860611482,0.04846662925109784,-0.5232291912288578,0.7404185343587453,0.4969064240657123
Fear,223,1863,-2.1358718542127244,1.552787929283085,1.4016041835835304,-0.9910785719547529,-0.257621841508559,-1.5747847817579557,-1.8196320576593688,0.5977159836752889,-1.2213755392681955,-0.542834974095073,1.5212494251114426,-2.215067968693492,-1.5560940734416422,-1.9323564553547725
Guilt,0,2086,,,,,,,,,,,,,,
Horror,126,1960,-2.3590175861603293,1.3923242485723266,1.28015825081469,-0.6339413625107537,-0.6336784458518621,-1.7155374412658138,-1.9031677226742159,0.5313826945824305,-2.392471387847407,-0.5421310577603091,1.795876006571402,-1.9449304247427353,-2.399838864827338,-2.5703005461467123
Interest,832,1254,0.3421239791835873,-0.5775160506560212,-0.5001794332150487,0.1880544355843842,-0.29875581963573716,0.5935816580170895,0.7860521258654191,-0.24102808140851903,0.30816324632087655,-0.29713928545347307,-0.6031081322821491,0.7948289470601828,0.23204904567350704,0.2950271745206603
Joy,380,1706,1.0459413682824508,-0.40061476526181267,-0.6927009156299361,0.4924474202886745,0.34011902006802297,0.7031944659260312,0.709648130863561,-0.4335178795164835,0.7239999810408638,0.7095430665242952,-0.6985752972348133,0.7399839588430865,0.9017782210772228,1.088330376597792
Nostalgia,37,2049,0.5280386365676288,-0.8904837389126339,-1.041686338672308,0.4957166639162018,0.12654073351798625,0.646511695517851,0.6464067522115602,-0.5173935593895495,0.5124646556694206,1.2667890071094927,-0.4765106049521916,0.6709042772119705,0.20946295968115658,0.4968294796098406
Pride,12,2074,0.7397093002173419,0.2532334830657873,0.1712482382561316,0.6340689744198421,2.103925938304318,0.8572299745715279,0.6531814019737233,1.527891984575833,0.9698845600541347,2.0516964481032565,-0.2796842722453646,0.31180564732752303,1.056429759936927,0.8660352450761721
