emotion,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,0.041784992353716674,-0.3556125433608396,-0.27733087548112695,-0.2744564605681009,0.3059267796899128,0.1074730901893998,0.12145333586865366,0.4351360956150845,0.10805238810832676,-0.05263099462158785,-0.6674363842158395,0.04621621651980009,-0.13959933319765122,0.517816092218351
Adoration,0.701078635321609,-0.8565237546324337,-0.641540255441661,0.8116799870665744,0.7576865250712689,-0.5054577694690114,-0.5865992593073415,-0.2731560314785154,-0.6848676445673468,-0.13869390590878022,-1.4961500903383071,0.002488369572336681,0.21901755441757823,0.46703641323149464
Aesthetic-Appreciation,0.04227720319878758,-1.302305022669115,1.0787943417978163,-0.37218795384459624,-0.4044443196053369,-0.5331475782958299,0.0789581040405685,0.22751236936860017,-0.05939497970548006,-0.1906415131433978,-0.221926819131377,-0.1304771500717835,-0.40378058959601404,1.0619717662394772
Amusement,-0.04032754608676391,0.26492427483448244,-0.48445378106846165,-0.33027976402091036,-0.8851593505108998,-0.3631522291558163,-0.34136139454145975,0.20633755456589362,0.1252002337597858,-0.016916460872450113,-0.10786710591344036,0.3456335412451209,0.5295407929433502,0.4343777279204894
Anger,0.44143258666881324,0.37836628828384217,-0.2516490750736914,-0.4279360949911993,0.28134308605676034,-0.2779970426521986,1.068197949476886,0.02828811831041229,-1.5899547458422325,-0.14567422052062895,0.11595420721742615,0.711828699379105,0.11632371923233628,-1.6965728839611407
Anxiety,0.027182364937910524,0.26287868430169287,0.2173486612641001,-0.8110055055039753,-0.15550815307531174,-0.06472300100126584,0.23286185943955678,0.27763998976984633,0.5415976905924015,0.24105860492024292,0.10717596037209023,-0.16050914629943766,-0.10543783704271172,-0.8456560491431505
Awe,0.25601533673375115,-0.012702497061592644,0.8343198009478718,-0.38813261173969066,-0.03265713650328204,0.04338306293435641,0.03280410312446491,0.08327966080578342,-0.017762720761486616,-0.0838411565216356,-0.4229501241113087,-0.2909787033752477,0.012421768411737333,0.18937769420434053
Awkwardness,-0.13872192428462515,-0.2724544476921629,0.43983147906446285,-0.692223639821837,-1.186948890858646,0.3362300009024233,-0.9972129116273214,-0.021103255406008086,0.2354665933575176,0.6102681162779328,0.03714941677303991,0.7664919199921926,-0.08664836063935766,-0.4433228769880209
Boredom,-0.4811664919281457,-0.5718159187842644,-1.2407198433091875,0.5762992274497722,-0.8854901781433089,0.6787529667544487,-0.34551573660832924,0.3438226948603726,0.24077041587037104,0.2954240488057615,0.27020602653901826,1.0691603811003876,-0.34062442277036614,-0.7046863826929891
Calmness,-0.3663308322098196,-2.1678211546324992,0.6498608074602925,0.010511591653893121,-0.22352322224667487,0.544475684208139,-0.2958214030022817,-0.3128031390652994,0.44724327419287585,0.036352503188032834,-0.15247353426060195,0.8313189107750306,-0.4768064868645249,0.2306021031952243
Confusion,-0.28787691219824846,-0.25647196634789543,0.5413003590252783,-1.8425386028625068,-0.8858229017589119,1.123927728110612,-0.5114700116000864,0.1870627253091191,0.9044001392435711,0.4135913520289678,0.2861373028618481,0.16041363646525253,-0.3479596161645103,-0.22862020250534323
Contempt,-0.7300228033261561,-1.2078380080540303,0.5155537972673125,0.5556397126851362,-0.028024057413438844,0.6516319191813897,0.762032451782706,-0.7815508133018497,-1.4963170113805964,1.0202834286262443,-0.1603135581085426,-0.15024618961204295,0.2951806749970209,-1.111391932324073
Craving,1.5209317116551397,-0.6638270785795976,0.30916706209459055,0.4683326379853978,-0.5881409256536712,-0.17127012901900782,-1.52586546192276,-0.7403818519229799,-0.8701800075735601,-0.14799226738867682,-0.03144223243293493,-0.4913150953022305,-0.053306480969133305,0.3883629826108473
Disappointment,-0.16589495909193547,-0.5576419459335782,0.12848616446801017,-0.8803057663821096,-0.15182036864708845,-0.39535778468974686,0.009456745667828297,-0.12872792787572906,-0.6241110718903004,0.658643052698813,0.8519570628312031,0.9357439169116053,0.1600305868991661,-0.6235590260595276
