,emotion,model,total_difference,rank,mean_score
82,Anxiety,gpt-4,8.36080211791069,16.0,0.6439359267734553
83,Entrancement,gpt-5.2-pro,8.307535047072207,3.0,0.8951945080091533
84,Anger,gpt-5.1,8.301135467047567,12.0,0.13592677345537757
85,Satisfaction,gpt-3.5-turbo,8.286690924652158,17.0,0.1322654462242563
86,Admiration,chatgpt-4o-latest,8.283040314202054,7.0,2.1450800915331807
87,Empathic-Pain,gpt-5-nano,8.2614302878609,11.0,0.6860411899313501
88,Anxiety,gpt-5.1,8.24708437150843,2.0,2.188100686498856
89,Pride,gpt-4.1,8.223095170715236,7.0,0.17025171624713958
90,Admiration,gpt-5.2-chat-latest,8.145814163340459,11.0,1.3157894736842106
91,Entrancement,gpt-5.1-chat-latest,8.142910600636949,8.0,0.5491990846681922
92,Triumph,gpt-4.1-nano,8.09550789151573,14.0,0.1565217391304348
93,Disappointment,gpt-3.5-turbo,8.079504157979791,3.0,0.1034324942791762
94,Entrancement,gpt-5,8.07509001630373,7.0,0.562929061784897
95,Awkwardness,gpt-5-nano,8.06762929801916,2.0,0.7148741418764302
96,Confusion,gpt-5.1,8.064504146323921,11.0,0.21647597254004577
97,Awkwardness,gpt-5.2-pro,8.059274298521418,4.0,0.54279176201373
98,Satisfaction,gpt-4.1-nano,8.046873277685615,16.0,0.22654462242562928
99,Anxiety,gpt-5.2-pro,8.023781264900064,5.0,1.6123569794050343
100,Pride,gpt-5-nano,8.002292542736472,11.0,0.12677345537757437
101,Sexual-Desire,gpt-4.1-nano,8.001687039809152,16.0,0.12951945080091534
102,Admiration,gpt-4o,7.989321053999544,10.0,1.4032036613272312
103,Entrancement,gpt-5.2-chat-latest,7.984546106955889,6.0,0.6169336384439359
104,Anger,chatgpt-4o-latest,7.976660948419512,13.0,0.13363844393592678
105,Triumph,gpt-5.2,7.967556147634142,12.0,0.21418764302059495
106,Triumph,gpt-4-turbo,7.944936462267606,16.0,0.08421052631578947
107,Relief,gpt-5.2-pro,7.9369713146531815,14.0,0.2745995423340961
108,Anger,gpt-4.1-mini,7.924402635162857,3.0,0.6164759725400457
109,Empathic-Pain,gpt-4o-mini,7.885156398222158,12.0,0.54279176201373
110,Sympathy,gpt-4.1,7.866534263735415,14.0,0.4874141876430206
111,Awkwardness,gpt-4.1-mini,7.858032273910119,12.0,0.2736842105263158
112,Anger,gpt-3.5-turbo,7.857011417365303,2.0,0.665903890160183
113,Anger,gpt-4o-mini,7.835581653351243,4.0,0.4604118993135011
114,Anger,gpt-5.2-chat-latest,7.835057576029257,8.0,0.26636155606407325
115,Pride,gpt-4.1-mini,7.825872556405725,2.0,0.41418764302059496
116,Anxiety,gpt-4o,7.824300224855728,14.0,1.0498855835240275
117,Sympathy,gpt-4o,7.818960439305234,8.0,0.9359267734553776
118,Triumph,gpt-5.2-pro,7.810404158206851,10.0,0.2590389016018307
119,Anxiety,gpt-4.1,7.776293373882403,7.0,1.3258581235697942
120,Relief,gpt-5.2-chat-latest,7.770861382006691,15.0,0.24347826086956523
121,Anger,gpt-4,7.762091095479448,6.0,0.3528604118993135
122,Empathic-Pain,gpt-4-turbo,7.748294294029172,9.0,0.9002288329519451
123,Surprise,gpt-3.5-turbo,7.737391563852545,12.0,2.351487414187643
124,Awkwardness,gpt-5,7.735587599616183,11.0,0.3162471395881007
125,Sexual-Desire,gpt-5.1-chat-latest,7.704572385380757,15.0,0.18947368421052632
126,Anxiety,gpt-4o-mini,7.701367858283334,1.0,2.210526315789474
127,Pride,gpt-4o-mini,7.634566247432827,1.0,0.4237986270022883
128,Sympathy,gpt-5.1-chat-latest,7.614218897687074,10.0,0.8581235697940504
129,Anxiety,gpt-5-mini,7.590831739196059,9.0,1.2439359267734553
130,Pride,gpt-4o,7.5891229586201945,5.0,0.21006864988558352
131,Disappointment,gpt-5.2-pro,7.541542698587054,14.0,0.02562929061784897
132,Admiration,gpt-5-mini,7.509218435427338,4.0,3.1070938215102974
133,Sympathy,gpt-4o-mini,7.48259811680395,13.0,0.5153318077803204
134,Triumph,gpt-5-nano,7.475779389605426,2.0,0.6274599542334096
135,Anxiety,gpt-5,7.4713048174989325,3.0,2.0979405034324943
136,Sympathy,chatgpt-4o-latest,7.449931967501467,11.0,0.7739130434782608
137,Admiration,gpt-4.1-mini,7.422341716396983,2.0,3.869565217391304
138,Confusion,gpt-5,7.413688146817903,16.0,0.13546910755148742
139,Empathic-Pain,gpt-5,7.399923558844705,8.0,0.9894736842105263
140,Disappointment,gpt-4.1-mini,7.3628865708655615,1.0,0.22562929061784898
141,Anger,gpt-5.2-pro,7.355726054232105,7.0,0.30526315789473685
142,Sympathy,gpt-5,7.347357185195925,6.0,1.0576659038901601
143,Awkwardness,gpt-4o,7.32099255016426,5.0,0.5116704805491991
144,Admiration,gpt-5,7.313615247784655,9.0,1.5981693363844394
145,Anxiety,gpt-4-turbo,7.290804792472456,13.0,1.0503432494279177
146,Sympathy,gpt-5-mini,7.283628477830281,2.0,1.2814645308924486
147,Awkwardness,gpt-5.1-chat-latest,7.232456642360516,3.0,0.5867276887871854
148,Empathic-Pain,gpt-5.2-pro,7.227332401300032,10.0,0.7272311212814645
149,Anxiety,gpt-4.1-mini,7.2240234607185885,10.0,1.17162471395881
150,Admiration,gpt-5.1-chat-latest,7.214806763495614,8.0,1.8512585812356979
151,Anxiety,gpt-5.1-chat-latest,7.193869763831139,8.0,1.2466819221967964
152,Triumph,gpt-4.1-mini,7.183860319174096,8.0,0.2965675057208238
153,Anxiety,gpt-5.2-chat-latest,7.1691949406926225,11.0,1.1606407322654462
154,Contempt,gpt-3.5-turbo,7.162105142677534,9.0,0.08329519450800915
155,Sympathy,gpt-4-turbo,7.1589727969887536,3.0,1.2375286041189932
156,Contempt,gpt-5.2-pro,7.139858440639969,17.0,0.02379862700228833
157,Contempt,gpt-5.1,7.139092593247051,10.0,0.08009153318077804
158,Contempt,gpt-4o,7.134920813857263,4.0,0.2123569794050343
159,Triumph,gpt-5,7.0990206504706075,11.0,0.2151029748283753
160,Awkwardness,gpt-4o-mini,7.070720401107467,9.0,0.37620137299771167
161,Relief,gpt-5.1,7.067021028312197,6.0,0.5130434782608696
162,Awkwardness,gpt-5-mini,7.0426313216471925,7.0,0.5006864988558353
163,Admiration,gpt-4.1,7.026363365139444,6.0,2.7423340961098397
164,Anger,gpt-5-mini,7.006295641146953,5.0,0.35926773455377575
165,Anxiety,gpt-5.2,6.993287439924383,4.0,1.9707093821510298
166,Craving,gpt-4o-mini,6.990202149239259,16.0,0.25308924485125855
167,Sympathy,gpt-5.2-pro,6.975896388251474,4.0,1.2041189931350114
168,Sympathy,gpt-4.1-mini,6.961331892030683,7.0,0.9624713958810068
169,Sympathy,gpt-5.2,6.94410149386394,9.0,0.917162471395881
170,Satisfaction,gpt-4-turbo,6.93973498882064,1.0,0.9922196796338673
171,Boredom,gpt-4o,6.939060685745678,2.0,0.094279176201373
172,Satisfaction,gpt-4o-mini,6.926226802718491,5.0,0.5066361556064073
173,Adoration,gpt-5,6.912571307959887,6.0,2.911670480549199
174,Empathic-Pain,gpt-5-mini,6.907270910722634,4.0,1.7551487414187643
175,Awkwardness,gpt-5.1,6.888834603211466,6.0,0.5089244851258581
176,Empathic-Pain,gpt-4o,6.88576564142502,7.0,1.1254004576659038
177,Confusion,gpt-5-nano,6.883777672933723,17.0,0.1322654462242563
178,Awkwardness,gpt-4-turbo,6.878042537742021,14.0,0.21693363844393593
179,Contempt,chatgpt-4o-latest,6.870122387672068,2.0,0.2379862700228833
180,Awkwardness,gpt-5.2-chat-latest,6.85960688114077,10.0,0.3391304347826087
181,Empathic-Pain,gpt-5.1,6.855579525070505,2.0,2.2842105263157895
182,Empathic-Pain,gpt-4.1-mini,6.8502815259130525,3.0,2.0407322654462243
183,Empathic-Pain,chatgpt-4o-latest,6.840732438170916,1.0,2.3574370709382153
184,Relief,gpt-4,6.830984507665374,16.0,0.23935926773455377
185,Empathic-Pain,gpt-5.1-chat-latest,6.7475660050906106,6.0,1.3848970251716246
186,Contempt,gpt-4-turbo,6.732598042851845,6.0,0.15377574370709382
187,Sympathy,gpt-5.2-chat-latest,6.708108302329516,1.0,1.3345537757437071
188,Pride,gpt-5-mini,6.6834064269785385,9.0,0.15926773455377574
189,Confusion,gpt-5.2-pro,6.679324035868041,5.0,0.3139588100686499
190,Adoration,chatgpt-4o-latest,6.663612984510889,4.0,3.011441647597254
191,Relief,gpt-4.1-nano,6.663372217280399,3.0,0.7208237986270023
192,Aesthetic-Appreciation,gpt-5.2,6.656927467121829,14.0,2.14279176201373
193,Aesthetic-Appreciation,gpt-4o-mini,6.654277569812293,12.0,2.305720823798627
194,Anxiety,chatgpt-4o-latest,6.636024075265514,12.0,1.1075514874141876
195,Sympathy,gpt-4,6.626765076302101,5.0,1.1963386727688787
196,Triumph,gpt-5-mini,6.60412278681293,4.0,0.4082379862700229
197,Confusion,gpt-4.1,6.591864216614001,4.0,0.45720823798627
198,Relief,gpt-5.2,6.5592883839321585,11.0,0.448512585812357
199,Aesthetic-Appreciation,gpt-4.1,6.543254673141294,1.0,6.940503432494279
200,Awkwardness,chatgpt-4o-latest,6.5278616255324415,8.0,0.47322654462242564
201,Triumph,gpt-4,6.525453327828978,13.0,0.19221967963386727
202,Surprise,gpt-4o-mini,6.510720477031367,16.0,1.3601830663615562
203,Triumph,gpt-4o,6.508145030361606,3.0,0.6009153318077803
204,Sexual-Desire,gpt-4o-mini,6.486831528059967,14.0,0.19130434782608696
205,Relief,gpt-5-nano,6.475781378201409,1.0,1.0965675057208237
206,Triumph,gpt-5.1,6.444671217395037,9.0,0.2759725400457666
207,Pride,gpt-4,6.4365406570711405,12.0,0.12402745995423341
208,Confusion,gpt-5.1-chat-latest,6.425231494566474,6.0,0.30892448512585813
209,Pride,gpt-4-turbo,6.425189579633144,3.0,0.3839816933638444
210,Relief,gpt-4.1-mini,6.42499206910309,7.0,0.5089244851258581
211,Contempt,gpt-4.1,6.392386841636664,5.0,0.16155606407322654
212,Sexual-Desire,gpt-4o,6.388205987901202,11.0,0.3505720823798627
213,Confusion,gpt-5-mini,6.387797752386049,15.0,0.17940503432494279
214,Disappointment,gpt-4o-mini,6.370216049161012,4.0,0.09748283752860412
215,Adoration,gpt-4.1-mini,6.363298684794592,1.0,3.636613272311213
216,Adoration,gpt-4.1,6.3254449982896,11.0,1.4073226544622426
217,Aesthetic-Appreciation,chatgpt-4o-latest,6.308598235195363,2.0,5.070022883295194
218,Nostalgia,gpt-3.5-turbo,6.30834534752524,15.0,0.16201372997711672
219,Confusion,gpt-4,6.301859449560028,8.0,0.28100686498855837
220,Nostalgia,gpt-4.1-nano,6.296372346889986,17.0,0.09519450800915331
221,Adoration,gpt-5.2-chat-latest,6.2781500174725275,12.0,1.3368421052631578
222,Relief,gpt-5,6.271408708290089,10.0,0.45537757437070936
223,Adoration,gpt-5-nano,6.255080302284755,8.0,2.3510297482837528
224,Adoration,gpt-5.1-chat-latest,6.248714071576396,2.0,3.5917620137299773
225,Aesthetic-Appreciation,gpt-4o,6.226473559109284,4.0,4.525400457665904
226,Horror,gpt-4.1-nano,6.222315436043561,16.0,0.9043478260869565
227,Pride,gpt-5.1,6.206442604018548,6.0,0.17986270022883294
228,Satisfaction,gpt-4,6.202830461955493,9.0,0.43386727688787186
229,Satisfaction,chatgpt-4o-latest,6.194376489857758,3.0,0.6961098398169336
230,Relief,gpt-3.5-turbo,6.185451961087298,2.0,0.9318077803203662
231,Adoration,gpt-5-mini,6.182292136128517,3.0,3.0329519450800917
232,Triumph,gpt-5.1-chat-latest,6.164097065626183,7.0,0.34782608695652173
233,Pride,gpt-5.2,6.156586620740099,13.0,0.11853546910755149
234,Satisfaction,gpt-4.1-mini,6.141439637624628,6.0,0.5011441647597255
235,Disappointment,gpt-4,6.088998793537932,5.0,0.09565217391304348
236,Adoration,gpt-5.1,6.084827015562707,5.0,2.9894736842105263
237,Aesthetic-Appreciation,gpt-4.1-mini,6.0812735097377075,9.0,2.9043478260869566
238,Empathic-Pain,gpt-4.1,6.069374199396978,5.0,1.4558352402745995
239,Aesthetic-Appreciation,gpt-5.1-chat-latest,6.043719234037635,10.0,2.6562929061784897
240,Surprise,gpt-5.1,6.030555404168295,15.0,2.010983981693364
241,Aesthetic-Appreciation,gpt-4,6.009818666423958,5.0,4.336384439359268
242,Contempt,gpt-4,5.996897572609807,15.0,0.034324942791762014
243,Relief,gpt-4-turbo,5.9912701660228755,5.0,0.5464530892448513
244,Disappointment,gpt-5.2,5.985364717859275,12.5,0.033409610983981694
245,Aesthetic-Appreciation,gpt-5.2-pro,5.955301523595978,13.0,2.2334096109839816
246,Surprise,gpt-5-nano,5.9494387746311626,14.0,2.1839816933638443
247,Confusion,gpt-4-turbo,5.92566696399006,12.0,0.2123569794050343
248,Triumph,gpt-4.1,5.925089396630148,6.0,0.3510297482837529
249,Satisfaction,gpt-5,5.924589524045954,11.0,0.39267734553775746
250,Sexual-Desire,gpt-5.2-pro,5.92147968919287,7.0,0.4434782608695652
251,Confusion,gpt-4o-mini,5.9193804095612075,14.0,0.1931350114416476
252,Contempt,gpt-5.1-chat-latest,5.885120227469033,12.0,0.07459954233409612
253,Sexual-Desire,gpt-4-turbo,5.879685292234122,13.0,0.24897025171624715
254,Relief,gpt-4o-mini,5.879658512419814,9.0,0.4837528604118993
255,Aesthetic-Appreciation,gpt-5-mini,5.862624392034117,7.0,3.2924485125858123
256,Confusion,gpt-4o,5.8541822287899485,2.0,0.5331807780320366
257,Disappointment,gpt-5.2-chat-latest,5.833091915285246,11.0,0.038901601830663615
258,Sexual-Desire,gpt-4,5.830338629762357,12.0,0.24988558352402745
259,Aesthetic-Appreciation,gpt-5.1,5.798276396488696,3.0,5.012814645308924
260,Fear,gpt-3.5-turbo,5.7907100856570946,1.0,8.591762013729976
261,Satisfaction,gpt-5.2,5.785960977712147,14.0,0.33043478260869563
262,Aesthetic-Appreciation,gpt-4-turbo,5.782725199790077,8.0,3.1533180778032035
263,Satisfaction,gpt-5-nano,5.753991714895124,15.0,0.30892448512585813
264,Adoration,gpt-5.2-pro,5.736069056324762,9.0,2.102517162471396
265,Fear,gpt-4.1-nano,5.718639047917562,2.0,7.758352402745995
266,Adoration,gpt-5.2,5.714765570129754,10.0,1.9867276887871854
267,Contempt,gpt-5.2-chat-latest,5.713138280098164,16.0,0.032951945080091534
268,Relief,gpt-5-mini,5.687350515365454,8.0,0.5006864988558353
269,Aesthetic-Appreciation,gpt-5.2-chat-latest,5.68240235318723,11.0,2.651258581235698
270,Satisfaction,gpt-5.2-chat-latest,5.678218723759695,8.0,0.4494279176201373
271,Aesthetic-Appreciation,gpt-5,5.673083556993133,6.0,3.508924485125858
272,Nostalgia,gpt-4o,5.671146413536853,1.0,0.6640732265446224
273,Adoration,gpt-4o,5.665664224887481,7.0,2.7093821510297484
274,Pride,gpt-5.2-chat-latest,5.647003500435447,8.0,0.16201372997711672
275,Triumph,gpt-5.2-chat-latest,5.634915317587439,5.0,0.35926773455377575
276,Satisfaction,gpt-4o,5.628850372487723,2.0,0.8842105263157894
277,Sexual-Desire,gpt-5.2,5.6105954296260965,5.0,0.4983981693363844
278,Satisfaction,gpt-5-mini,5.583327398121271,10.0,0.4279176201372998
279,Fear,gpt-4.1,5.5801068008263375,17.0,1.8105263157894738
280,Confusion,gpt-5.2,5.572130197753863,7.0,0.2965675057208238
281,Relief,chatgpt-4o-latest,5.5648494764119025,12.0,0.4462242562929062
282,Relief,gpt-4.1,5.564307528632129,4.0,0.6004576659038902
283,Satisfaction,gpt-4.1,5.561069792205677,7.0,0.49016018306636155
284,Confusion,chatgpt-4o-latest,5.536854395463114,1.0,0.5675057208237986
285,Satisfaction,gpt-5.1-chat-latest,5.53534475862521,12.0,0.38077803203661326
286,Nostalgia,gpt-4o-mini,5.532327017374531,12.0,0.22242562929061785
287,Calmness,gpt-4.1-nano,5.517525722061215,1.0,4.591762013729977
288,Surprise,gpt-5.2-pro,5.485160234528065,1.0,5.938215102974828
289,Craving,gpt-4.1-nano,5.483254420570323,11.0,0.7203661327231121
290,Contempt,gpt-5.2,5.481969820770563,14.0,0.037528604118993135
291,Relief,gpt-4o,5.475164244969637,13.0,0.38352402745995423
292,Awe,gpt-3.5-turbo,5.439328333526881,2.0,7.660869565217391
293,Satisfaction,gpt-5.2-pro,5.402818370614353,13.0,0.3679633867276888
294,Confusion,gpt-5.2-chat-latest,5.369290986990481,10.0,0.23752860411899313
295,Excitement,chatgpt-4o-latest,5.340734252871227,17.0,1.2956521739130435
296,Calmness,gpt-3.5-turbo,5.332503316495475,16.0,2.17254004576659
297,Nostalgia,gpt-5-mini,5.318918975334853,5.0,0.422883295194508
298,Satisfaction,gpt-5.1,5.3041783105174565,4.0,0.6013729977116705
299,Contempt,gpt-5,5.30229225895937,13.0,0.04805491990846682
300,Sadness,gpt-4.1-nano,5.290055111869282,4.0,0.6823798627002289
301,Joy,gpt-4o-mini,5.289650489743364,1.0,10.477345537757436
302,Calmness,gpt-5-mini,5.270133881235789,17.0,1.5318077803203662
303,Horror,gpt-5-nano,5.269451782853778,10.0,1.6
304,Confusion,gpt-4.1-mini,5.267812791637541,13.0,0.20594965675057209
305,Surprise,gpt-4.1,5.247195449015224,3.0,4.551029748283753
306,Surprise,gpt-5,5.2380748876865475,2.0,4.824713958810069
307,Sexual-Desire,gpt-5-mini,5.237809675760686,4.0,0.5675057208237986
308,Contempt,gpt-5-mini,5.235313639894024,8.0,0.08970251716247139
309,Contempt,gpt-5-nano,5.228351368812858,11.0,0.07917620137299772
310,Nostalgia,gpt-5.2-pro,5.214643493607756,16.0,0.16064073226544623
311,Nostalgia,gpt-5.2,5.206922729977849,8.0,0.32906178489702514
312,Sexual-Desire,gpt-5.2-chat-latest,5.205724659260834,1.0,0.808695652173913
313,Surprise,gpt-4.1-mini,5.20325576374238,13.0,2.2215102974828373
314,Nostalgia,gpt-5,5.197221904520652,13.0,0.2123569794050343
315,Surprise,gpt-5-mini,5.181195822017566,7.0,3.8064073226544624
316,Interest,chatgpt-4o-latest,5.135180642416964,17.0,3.5217391304347827
317,Fear,gpt-5,5.121960641249898,16.0,2.1276887871853547
318,Interest,gpt-4.1-nano,5.085025032102854,1.0,9.947368421052632
319,Surprise,gpt-4,5.083416768911484,10.0,2.9125858123569794
320,Interest,gpt-5-nano,5.070902536582296,16.0,4.189473684210526
321,Surprise,gpt-5.2,5.05852665402163,5.0,4.237070938215103
322,Fear,gpt-4o-mini,5.0455158576355315,4.0,4.88558352402746
323,Disappointment,chatgpt-4o-latest,5.039513600993933,9.0,0.057665903890160186
324,Nostalgia,gpt-5.2-chat-latest,5.01039453198967,4.0,0.4265446224256293
325,Craving,gpt-4-turbo,4.973071525307789,15.0,0.3816933638443936
326,Nostalgia,gpt-4.1,4.966688234599484,11.0,0.23615560640732267
327,Disappointment,gpt-5-nano,4.958259852699304,10.0,0.05217391304347826
328,Disappointment,gpt-4o,4.951884786388824,6.0,0.07231121281464531
329,Boredom,gpt-4.1-mini,4.9382244844120935,1.0,0.1080091533180778
330,Surprise,gpt-5.1-chat-latest,4.911903896702168,4.0,4.295194508009153
331,Sexual-Desire,gpt-5-nano,4.897248399816144,10.0,0.3697940503432494
332,Awe,gpt-5-nano,4.887756840882778,1.0,9.448054919908467
333,Surprise,gpt-4-turbo,4.879337115276281,11.0,2.6961098398169336
334,Sexual-Desire,gpt-5,4.856437190603247,9.0,0.3748283752860412
335,Surprise,gpt-4o,4.841907437011255,8.0,3.4819221967963387
336,Calmness,gpt-5-nano,4.8287332920767865,14.0,2.425629290617849
337,Sadness,gpt-3.5-turbo,4.82008895630937,1.0,0.8521739130434782
338,Interest,gpt-3.5-turbo,4.813947969264991,7.0,7.067276887871854
339,Joy,gpt-3.5-turbo,4.786387573991762,2.0,7.107093821510298
340,Surprise,gpt-5.2-chat-latest,4.77890386869192,6.0,4.0361556064073225
341,Surprise,chatgpt-4o-latest,4.76134808869335,9.0,3.011441647597254
342,Sadness,gpt-5,4.746410031896767,16.0,0.34553775743707094
343,Calmness,gpt-4-turbo,4.744631787079511,6.0,3.2787185354691077
344,Excitement,gpt-4.1-nano,4.739831243466119,16.0,1.9684210526315788
345,Horror,gpt-5-mini,4.717563597937117,3.0,2.3414187643020594
346,Excitement,gpt-3.5-turbo,4.710138104736638,1.0,5.190389016018306
347,Horror,gpt-4o-mini,4.706691587964345,12.0,1.4553775743707094
348,Disappointment,gpt-4-turbo,4.698847122260696,7.0,0.06636155606407322
349,Nostalgia,gpt-4-turbo,4.69048985022761,9.0,0.328604118993135
350,Calmness,gpt-5.1,4.68920707221154,9.0,2.6677345537757438
351,Fear,gpt-5-nano,4.668404465288368,3.0,5.269565217391304
352,Disappointment,gpt-4.1,4.658206249355211,8.0,0.06224256292906179
353,Calmness,gpt-4o-mini,4.593303496630113,10.0,2.665903890160183
354,Horror,gpt-5.2-pro,4.571275486754176,1.0,2.9633867276887873
355,Fear,gpt-4.1-mini,4.567540937019063,15.0,2.922654462242563
356,Sexual-Desire,chatgpt-4o-latest,4.54260635767041,3.0,0.594050343249428
357,Awe,gpt-4.1,4.531245518854364,16.0,4.319450800915332
358,Awe,gpt-4.1-nano,4.505623591199046,5.0,6.739588100686499
359,Horror,gpt-5.2-chat-latest,4.494170456943243,2.0,2.940503432494279
360,Nostalgia,gpt-4,4.491475748109948,10.0,0.2819221967963387
