,emotion,model,total_difference,rank,mean_score,z_diff,strength,,,,,,,,
281,Relief,chatgpt-4o-latest,5.564849476,12,0.446224256,-0.002681602,,,,,,,,,
282,Relief,gpt-4.1,5.564307529,4,0.600457666,-0.00287123,,,,,,,,,
283,Satisfaction,gpt-4.1,5.561069792,7,0.490160183,-0.004004117,,,,,,,,,
284,Confusion,chatgpt-4o-latest,5.536854395,1,0.567505721,-0.012477111,,,,,,,,,
285,Satisfaction,gpt-5.1-chat-latest,5.535344759,12,0.380778032,-0.013005334,,,,,,,,,
286,Nostalgia,gpt-4o-mini,5.532327017,12,0.222425629,-0.014061245,,,,,,,,,
287,Calmness,gpt-4.1-nano,5.517525722,1,4.591762014,-0.019240234,,,,,,,,,
288,Surprise,gpt-5.2-pro,5.485160235,1,5.938215103,-0.030564953,,,,,,,,,
289,Craving,gpt-4.1-nano,5.483254421,11,0.720366133,-0.031231799,,,,,,,,,
290,Contempt,gpt-5.2,5.481969821,14,0.037528604,-0.031681282,,,,,,,,,
291,Relief,gpt-4o,5.475164245,13,0.383524027,-0.034062561,,,,,,,,,
292,Awe,gpt-3.5-turbo,5.439328334,2,7.660869565,-0.046601584,,,,,,,,,
293,Satisfaction,gpt-5.2-pro,5.402818371,13,0.367963387,-0.05937646,,,,,,,,,
294,Confusion,gpt-5.2-chat-latest,5.369290987,10,0.237528604,-0.071107727,,,,,,,,,
295,Excitement,chatgpt-4o-latest,5.340734253,17,1.295652174,-0.081099759,,,,,,,,,
296,Calmness,gpt-3.5-turbo,5.332503316,16,2.172540046,-0.083979773,,,,,,,,,
297,Nostalgia,gpt-5-mini,5.318918975,5,0.422883295,-0.088732948,,,,,,,,,
298,Satisfaction,gpt-5.1,5.304178311,4,0.601372998,-0.093890723,,,,,,,,,
299,Contempt,gpt-5,5.302292259,13,0.04805492,-0.094550654,,,,,,,,,
300,Sadness,gpt-4.1-nano,5.290055112,4,0.682379863,-0.098832445,,,,,,,,,
301,Joy,gpt-4o-mini,5.28965049,1,10.47734554,-0.098974023,,,,,,,,,
302,Calmness,gpt-5-mini,5.270133881,17,1.53180778,-0.105802905,,,,,,,,,
303,Horror,gpt-5-nano,5.269451783,10,1.6,-0.106041572,,,,,,,,,
304,Confusion,gpt-4.1-mini,5.267812792,13,0.205949657,-0.106615057,,,,,,,,,
305,Surprise,gpt-4.1,5.247195449,3,4.551029748,-0.113829087,,,,,,,,,
306,Surprise,gpt-5,5.238074888,2,4.824713959,-0.117020381,,,,,,,,,
307,Sexual-Desire,gpt-5-mini,5.237809676,4,0.567505721,-0.117113179,,,,,,,,,
308,Contempt,gpt-5-mini,5.23531364,8,0.089702517,-0.117986545,,,,,,,,,
309,Contempt,gpt-5-nano,5.228351369,11,0.079176201,-0.120422651,,,,,,,,,
310,Nostalgia,gpt-5.2-pro,5.214643494,16,0.160640732,-0.125219051,,,,,,,,,
311,Nostalgia,gpt-5.2,5.20692273,8,0.329061785,-0.127920555,,,,,,,,,
312,Sexual-Desire,gpt-5.2-chat-latest,5.205724659,1,0.808695652,-0.128339761,,,,,,,,,
313,Surprise,gpt-4.1-mini,5.203255764,13,2.221510297,-0.12920363,,,,,,,,,
314,Nostalgia,gpt-5,5.197221905,13,0.212356979,-0.131314884,,,,,,,,,
315,Surprise,gpt-5-mini,5.181195822,7,3.806407323,-0.136922428,,,,,,,,,
316,Interest,chatgpt-4o-latest,5.135180642,17,3.52173913,-0.153023188,,,,,,,,,
317,Fear,gpt-5,5.121960641,16,2.127688787,-0.157648881,,,,,,,,,
318,Interest,gpt-4.1-nano,5.085025032,1,9.947368421,-0.17057269,,,,,,,,,
319,Surprise,gpt-4,5.083416769,10,2.912585812,-0.171135423,,,,,,,,,
320,Interest,gpt-5-nano,5.070902537,16,4.189473684,-0.175514167,,,,,,,,,
321,Surprise,gpt-5.2,5.058526654,5,4.237070938,-0.179844501,,,,,,,,,
322,Fear,gpt-4o-mini,5.045515858,4,4.885583524,-0.184396993,,,,,,,,,
323,Disappointment,chatgpt-4o-latest,5.039513601,9,0.057665904,-0.186497189,,,,,,,,,
324,Nostalgia,gpt-5.2-chat-latest,5.010394532,4,0.426544622,-0.196685982,,,,,,,,,
325,Craving,gpt-4-turbo,4.973071525,15,0.381693364,-0.209745342,,,,,,,,,
326,Nostalgia,gpt-4.1,4.966688235,11,0.236155606,-0.211978863,,,,,,,,,
327,Disappointment,gpt-5-nano,4.958259853,10,0.052173913,-0.214927963,,,,,,,,,
328,Disappointment,gpt-4o,4.951884786,6,0.072311213,-0.217158605,,,,,,,,,
329,Boredom,gpt-4.1-mini,4.938224484,1,0.108009153,-0.22193836,,,,,,,,,
330,Surprise,gpt-5.1-chat-latest,4.911903897,4,4.295194508,-0.231147961,,,,,,,,,
331,Sexual-Desire,gpt-5-nano,4.8972484,10,0.36979405,-0.236275936,,,,,,,,,
332,Awe,gpt-5-nano,4.887756841,1,9.44805492,-0.239597042,,,,,,,,,
333,Surprise,gpt-4-turbo,4.879337115,11,2.69610984,-0.242543113,,,,,,,,,
334,Sexual-Desire,gpt-5,4.856437191,9,0.374828375,-0.250555821,,,,,,,,,
335,Surprise,gpt-4o,4.841907437,8,3.481922197,-0.255639798,,,,,,,,,
336,Calmness,gpt-5-nano,4.828733292,14,2.425629291,-0.260249445,,,,,,,,,
337,Sadness,gpt-3.5-turbo,4.820088956,1,0.852173913,-0.263274108,,,,,,,,,
338,Interest,gpt-3.5-turbo,4.813947969,7,7.067276888,-0.265422846,,,,,,,,,
339,Joy,gpt-3.5-turbo,4.786387574,2,7.107093822,-0.275066258,,,,,,,,,
340,Surprise,gpt-5.2-chat-latest,4.778903869,6,4.036155606,-0.277684814,,,,,,,,,
341,Surprise,chatgpt-4o-latest,4.761348089,9,3.011441648,-0.2838276,,,,,,,,,
342,Sadness,gpt-5,4.746410032,16,0.345537757,-0.289054442,,,,,,,,,
343,Calmness,gpt-4-turbo,4.744631787,6,3.278718535,-0.289676652,,,,,,,,,
344,Excitement,gpt-4.1-nano,4.739831243,16,1.968421053,-0.291356368,,,,,,,,,
345,Horror,gpt-5-mini,4.717563598,3,2.341418764,-0.299147841,,,,,,,,,
346,Excitement,gpt-3.5-turbo,4.710138105,1,5.190389016,-0.301746029,,,,,,,,,
347,Horror,gpt-4o-mini,4.706691588,12,1.455377574,-0.302951969,,,,,,,,,
348,Disappointment,gpt-4-turbo,4.698847122,7,0.066361556,-0.305696756,,,,,,,,,
349,Nostalgia,gpt-4-turbo,4.69048985,9,0.328604119,-0.308620974,,,,,,,,,
350,Calmness,gpt-5.1,4.689207072,9,2.667734554,-0.309069819,,,,,,,,,
351,Fear,gpt-5-nano,4.668404465,3,5.269565217,-0.316348674,,,,,,,,,
352,Disappointment,gpt-4.1,4.658206249,8,0.062242563,-0.319917041,,,,,,,,,
353,Calmness,gpt-4o-mini,4.593303497,10,2.66590389,-0.342626584,,,,,,,,,
354,Horror,gpt-5.2-pro,4.571275487,1,2.963386728,-0.350334208,,,,,,,,,
355,Fear,gpt-4.1-mini,4.567540937,15,2.922654462,-0.351640931,,,,,,,,,
356,Sexual-Desire,chatgpt-4o-latest,4.542606358,3,0.594050343,-0.360365567,,,,,,,,,
357,Awe,gpt-4.1,4.531245519,16,4.319450801,-0.364340737,,,,,,,,,
358,Awe,gpt-4.1-nano,4.505623591,5,6.739588101,-0.373305877,,,,,,,,,
359,Horror,gpt-5.2-chat-latest,4.494170457,2,2.940503432,-0.377313341,,,,,,,,,
360,Nostalgia,gpt-4,4.491475748,10,0.281922197,-0.378256222,,,,,,,,,
361,Sexual-Desire,gpt-4.1-mini,4.488451482,6,0.491533181,-0.379314416,,,,,,,,,
362,Nostalgia,gpt-5.1,4.477832797,2,0.472311213,-0.383029905,,,,,,,,,
363,Nostalgia,gpt-5.1-chat-latest,4.473850025,6,0.385812357,-0.384423482,,,,,,,,,
364,Fear,gpt-5-mini,4.471184367,11,3.348283753,-0.385356198,,,,,,,,,
365,Sadness,gpt-5-mini,4.436730542,12,0.558352403,-0.397411629,,,,,,,,,
366,Horror,gpt-4,4.43321494,13,1.400915332,-0.398641741,,,,,,,,,
367,Fear,gpt-5.2-pro,4.427067686,7,3.769336384,-0.400792672,,,,,,,,,
368,Horror,gpt-4.1-mini,4.42180007,14,1.254919908,-0.402635817,,,,,,,,,
369,Calmness,chatgpt-4o-latest,4.377830795,12,2.54416476,-0.418020713,,,,,,,,,
370,Awe,gpt-5.1,4.371013828,7,5.887871854,-0.420405977,,,,,,,,,
371,Nostalgia,gpt-5-nano,4.353657173,7,0.367505721,-0.42647909,,,,,,,,,
372,Sadness,gpt-4o-mini,4.339152824,2,0.780320366,-0.431554177,,,,,,,,,
373,Sexual-Desire,gpt-5.1,4.311304549,2,0.6201373,-0.441298318,,,,,,,,,
374,Interest,gpt-4o-mini,4.305588163,12,6.275057208,-0.443298488,,,,,,,,,
375,Sadness,chatgpt-4o-latest,4.297532185,15,0.449427918,-0.446117283,,,,,,,,,
376,Interest,gpt-5.1,4.283846948,8,6.938215103,-0.450905762,,,,,,,,,
377,Calmness,gpt-5,4.274995879,15,2.299771167,-0.454002761,,,,,,,,,
378,Interest,gpt-4.1,4.260588441,11,6.280091533,-0.459043939,,,,,,,,,
379,Fear,gpt-5.2,4.259867908,13,3.239359268,-0.459296054,,,,,,,,,
380,Nostalgia,gpt-4.1-mini,4.256492012,14,0.183066362,-0.460477284,,,,,,,,,
381,Excitement,gpt-5-nano,4.244965081,5,3.71395881,-0.464510569,,,,,,,,,
382,Horror,gpt-5,4.236089996,4,2.325400458,-0.467615971,,,,,,,,,
383,Sexual-Desire,gpt-4.1,4.229159866,8,0.390846682,-0.470040831,,,,,,,,,
384,Fear,gpt-5.2-chat-latest,4.228448809,5,3.871395881,-0.470289631,,,,,,,,,
385,Joy,gpt-4.1-nano,4.21484541,3,6.349199085,-0.475049475,,,,,,,,,
386,Awe,gpt-5.2-pro,4.212145582,15,4.620594966,-0.475994147,,,,,,,,,
387,Horror,gpt-4-turbo,4.202101482,8,1.943249428,-0.479508589,,,,,,,,,
388,Nostalgia,chatgpt-4o-latest,4.199601725,3,0.44805492,-0.480383256,,,,,,,,,
389,Calmness,gpt-4o,4.161531963,3,3.809610984,-0.493703907,,,,,,,,,
390,Horror,chatgpt-4o-latest,4.158932175,11,1.595423341,-0.494613576,,,,,,,,,
391,Fear,gpt-4-turbo,4.156878314,14,2.951029748,-0.495332224,,,,,,,,,
392,Calmness,gpt-4.1,4.139280096,2,3.966590389,-0.501489859,,,,,,,,,
393,Interest,gpt-5-mini,4.133784938,15,5.164302059,-0.503412621,,,,,,,,,
394,Horror,gpt-5.1,4.123990323,6,2.033409611,-0.506839767,,,,,,,,,
395,Fear,gpt-5.1,4.119354529,10,3.361098398,-0.508461837,,,,,,,,,
396,Fear,gpt-5.1-chat-latest,4.118725347,8,3.766590389,-0.508681988,,,,,,,,,
397,Sadness,gpt-4.1-mini,4.100487166,13,0.557437071,-0.515063547,,,,,,,,,
398,Horror,gpt-4.1,4.09097487,9,1.610983982,-0.51839191,,,,,,,,,
399,Sadness,gpt-4,4.085543602,9,0.566132723,-0.520292316,,,,,,,,,
400,Awe,chatgpt-4o-latest,4.08476259,9,5.572540046,-0.520565593,,,,,,,,,
401,Calmness,gpt-5.1-chat-latest,4.070088771,13,2.512585812,-0.525699978,,,,,,,,,
402,Interest,gpt-4o,4.069357242,14,5.703432494,-0.525955941,,,,,,,,,
403,Fear,gpt-4o,4.056437139,12,3.289244851,-0.530476699,,,,,,,,,
404,Fear,gpt-4,4.050831505,6,3.794508009,-0.532438116,,,,,,,,,
405,Disgust,gpt-4.1-nano,4.041260429,11,1.335011442,-0.535787046,,,,,,,,,
406,Sadness,gpt-5.2,4.041021115,3,0.77208238,-0.535870782,,,,,,,,,
407,Awe,gpt-4o-mini,4.037072868,3,7.117620137,-0.537252278,,,,,,,,,
408,Horror,gpt-5.1-chat-latest,4.029062586,5,2.104805492,-0.540055084,,,,,,,,,
409,Interest,gpt-5.2,4.01780908,6,7.48604119,-0.543992698,,,,,,,,,
410,Interest,gpt-5.2-pro,4.009452896,9,6.61784897,-0.546916536,,,,,,,,,
411,Interest,gpt-4,4.008119712,2,8.730434783,-0.547383018,,,,,,,,,
412,Awe,gpt-4.1-mini,3.997992219,12,5.183981693,-0.550926639,,,,,,,,,
413,Interest,gpt-4.1-mini,3.988108827,4,7.804576659,-0.554384848,,,,,,,,,
414,Disgust,gpt-3.5-turbo,3.979373384,15,1.150572082,-0.557441389,,,,,,,,,
415,Interest,gpt-5.1-chat-latest,3.970739061,10,6.465446224,-0.560462548,,,,,,,,,
416,Horror,gpt-4o,3.954183078,7,1.992677346,-0.566255504,,,,,,,,,
417,Interest,gpt-4-turbo,3.94766593,3,8.497940503,-0.568535862,,,,,,,,,
418,Awe,gpt-4,3.916419534,13,5.138672769,-0.579469009,,,,,,,,,
419,Awe,gpt-5-mini,3.914721192,14,4.832494279,-0.580063261,,,,,,,,,
420,Awe,gpt-5.1-chat-latest,3.904253414,10,5.565675057,-0.583725948,,,,,,,,,
421,Calmness,gpt-4,3.894812419,8,2.705720824,-0.587029362,,,,,,,,,
422,Sadness,gpt-5.2-chat-latest,3.885821368,6,0.58215103,-0.59017534,,,,,,,,,
423,Disgust,gpt-5-nano,3.885619744,17,0.867276888,-0.590245889,,,,,,,,,
424,Awe,gpt-4-turbo,3.880159729,8,5.771624714,-0.592156354,,,,,,,,,
425,Craving,gpt-4o,3.875751279,14,0.578947368,-0.593698875,,,,,,,,,
426,Interest,gpt-5,3.873596137,5,7.532265446,-0.594452962,,,,,,,,,
427,Sadness,gpt-5-nano,3.848609176,10,0.564759725,-0.603195926,,,,,,,,,
428,Excitement,gpt-4o-mini,3.846831343,3,3.886498856,-0.603817992,,,,,,,,,
429,Amusement,gpt-3.5-turbo,3.836337009,17,4.705263158,-0.607489971,,,,,,,,,
430,Awe,gpt-4o,3.805426273,6,6.371624714,-0.618305671,,,,,,,,,
431,Excitement,gpt-5.1,3.768497198,14,2.035240275,-0.631227193,,,,,,,,,
432,Excitement,gpt-4.1-mini,3.765149857,7,3.117162471,-0.632398432,,,,,,,,,
433,Calmness,gpt-5.2,3.755779176,5,3.545537757,-0.635677243,,,,,,,,,
434,Fear,chatgpt-4o-latest,3.7518499,9,3.573913043,-0.637052101,,,,,,,,,
435,Excitement,gpt-4.1,3.74319837,15,1.983981693,-0.64007928,,,,,,,,,
436,Interest,gpt-5.2-chat-latest,3.741832667,13,5.832494279,-0.640557141,,,,,,,,,
437,Calmness,gpt-5.2-pro,3.741359686,11,2.573455378,-0.640722638,,,,,,,,,
438,Excitement,gpt-4-turbo,3.693491257,2,3.956979405,-0.657471853,,,,,,,,,
439,Awe,gpt-5.2-chat-latest,3.685853392,4,6.8402746,-0.66014435,,,,,,,,,
440,Excitement,gpt-5,3.683758713,12,2.330434783,-0.66087728,,,,,,,,,
441,Calmness,gpt-4.1-mini,3.662902699,7,3.155148741,-0.668174822,,,,,,,,,
442,Calmness,gpt-5.2-chat-latest,3.651050963,4,3.695652174,-0.672321757,,,,,,,,,
443,Joy,gpt-5.1,3.645962674,10,4.015102975,-0.674102155,,,,,,,,,
444,Sadness,gpt-4-turbo,3.620312358,5,0.677803204,-0.683077228,,,,,,,,,
445,Joy,gpt-5-nano,3.598661768,13,3.645308924,-0.690652793,,,,,,,,,
446,Excitement,gpt-4,3.590799804,4,3.846681922,-0.693403702,,,,,,,,,
447,Excitement,gpt-5.2-pro,3.583453706,6,3.229748284,-0.69597411,,,,,,,,,
448,Sadness,gpt-4.1,3.56817103,14,0.463615561,-0.701321535,,,,,,,,,
449,Sadness,gpt-5.1,3.548783215,7,0.578489703,-0.708105352,,,,,,,,,
450,Romance,gpt-3.5-turbo,3.533148218,17,1.038443936,-0.713576054,,,,,,,,,
451,Awe,gpt-5,3.531043484,11,5.362929062,-0.714312503,,,,,,,,,
452,Excitement,gpt-5-mini,3.523019164,9,2.766132723,-0.717120221,,,,,,,,,
453,Sadness,gpt-5.2-pro,3.50107743,11,0.561556064,-0.724797657,,,,,,,,,
454,Joy,gpt-4.1-mini,3.496677601,15,3.238443936,-0.726337162,,,,,,,,,
455,Joy,chatgpt-4o-latest,3.476114105,17,2.923569794,-0.733532352,,,,,,,,,
456,Excitement,gpt-5.2-chat-latest,3.46779842,8,3.064988558,-0.736442019,,,,,,,,,
457,Excitement,gpt-5.1-chat-latest,3.454318666,13,2.253546911,-0.741158599,,,,,,,,,
458,Disgust,gpt-5.1,3.453703997,2,1.95423341,-0.741373673,,,,,,,,,
459,Disgust,gpt-5.2,3.44688998,1,1.992677346,-0.743757904,,,,,,,,,
460,Boredom,gpt-5.1-chat-latest,3.43585866,5,0.087414188,-0.747617775,,,,,,,,,
461,Disgust,gpt-4o-mini,3.369755104,16,0.930892449,-0.77074748,,,,,,,,,
462,Excitement,gpt-5.2,3.363940712,10,2.681006865,-0.772781942,,,,,,,,,
463,Romance,gpt-4.1-mini,3.317377296,16,1.049885584,-0.789074532,,,,,,,,,
464,Joy,gpt-5.2-chat-latest,3.291246144,4,4.863157895,-0.79821785,,,,,,,,,
465,Joy,gpt-5,3.289289898,14,3.343707094,-0.798902342,,,,,,,,,
466,Disgust,gpt-5.1-chat-latest,3.275882238,3,1.830663616,-0.803593697,,,,,,,,,
467,Joy,gpt-4,3.273463663,8,4.355606407,-0.804439959,,,,,,,,,
468,Amusement,gpt-5,3.262621453,16,5.640732265,-0.80823366,,,,,,,,,
469,Sadness,gpt-4o,3.227081304,8,0.573913043,-0.820669196,,,,,,,,,
470,Joy,gpt-4-turbo,3.220536899,6,4.470480549,-0.82295909,,,,,,,,,
471,Excitement,gpt-4o,3.217945535,11,2.388558352,-0.823865812,,,,,,,,,
472,Joy,gpt-5-mini,3.207685927,9,4.248512586,-0.827455659,,,,,,,,,
473,Amusement,chatgpt-4o-latest,3.183959072,10,7.109839817,-0.835757711,,,,,,,,,
474,Craving,gpt-5.2-pro,3.174508073,1,1.004576659,-0.839064626,,,,,,,,,
475,Amusement,gpt-4.1-nano,3.153369965,11,7.077345538,-0.846460873,,,,,,,,,
476,Craving,gpt-5-mini,3.114894802,2,0.985812357,-0.859923374,,,,,,,,,
477,Joy,gpt-4.1,3.088965697,16,3.123569794,-0.868995995,,,,,,,,,
478,Disgust,gpt-4o,3.078690418,14,1.196796339,-0.872591327,,,,,,,,,
479,Disgust,gpt-5-mini,3.045612849,8,1.519450801,-0.884165204,,,,,,,,,
480,Disgust,gpt-4,3.043863314,5,1.783524027,-0.884777368,,,,,,,,,
481,Disgust,gpt-4.1,3.023047761,9,1.489244851,-0.892060752,,,,,,,,,
482,Joy,gpt-5.1-chat-latest,3.013854372,12,3.768878719,-0.895277529,,,,,,,,,
483,Joy,gpt-5.2,2.991339847,5,4.480091533,-0.903155385,,,,,,,,,
484,Romance,chatgpt-4o-latest,2.97873509,13,1.292448513,-0.907565803,,,,,,,,,
485,Disgust,gpt-4-turbo,2.961523969,6,1.589473684,-0.913587993,,,,,,,,,
486,Boredom,gpt-4.1-nano,2.945123536,3,0.092906178,-0.919326522,,,,,,,,,
487,Disgust,gpt-5,2.942958635,7,1.520366133,-0.920084023,,,,,,,,,
488,Joy,gpt-5.2-pro,2.941848203,7,4.437528604,-0.920472565,,,,,,,,,
489,Joy,gpt-4o,2.925212054,11,3.971624714,-0.926293571,,,,,,,,,
490,Disgust,gpt-5.2-pro,2.922767924,4,1.794050343,-0.927148775,,,,,,,,,
491,Romance,gpt-5,2.922228886,9,1.454462243,-0.927337385,,,,,,,,,
492,Boredom,gpt-4o-mini,2.889872521,4,0.088787185,-0.938658912,,,,,,,,,
493,Disgust,gpt-5.2-chat-latest,2.861002708,10,1.442105263,-0.94876049,,,,,,,,,
494,Craving,gpt-4,2.841384942,13,0.663615561,-0.955624767,,,,,,,,,
495,Romance,gpt-4o-mini,2.798380609,15,1.226544622,-0.97067203,,,,,,,,,
496,Craving,gpt-4.1,2.742762364,12,0.698855835,-0.990132913,,,,,,,,,
497,Disgust,gpt-4.1-mini,2.740380829,12,1.23798627,-0.990966215,,,,,,,,,
498,Amusement,gpt-4o-mini,2.704714889,15,6.295194508,-1.003445766,,,,,,,,,
499,Amusement,gpt-4,2.704391854,1,10.16659039,-1.003558796,,,,,,,,,
500,Craving,gpt-5.2,2.602162998,3,0.904347826,-1.039328783,,,,,,,,,
501,Disgust,chatgpt-4o-latest,2.570461303,13,1.228832952,-1.05042124,,,,,,,,,
502,Craving,chatgpt-4o-latest,2.56396841,4,0.84805492,-1.05269311,,,,,,,,,
503,Romance,gpt-4,2.553529598,14,1.24576659,-1.056345662,,,,,,,,,
504,Amusement,gpt-5.2-pro,2.522763872,14,6.698398169,-1.067110622,,,,,,,,,
505,Craving,gpt-5-nano,2.506994747,9,0.795881007,-1.072628256,,,,,,,,,
506,Craving,gpt-5.1-chat-latest,2.501694007,10,0.793135011,-1.074482991,,,,,,,,,
507,Craving,gpt-5,2.456612162,6,0.830663616,-1.090257176,,,,,,,,,
508,Craving,gpt-4.1-mini,2.453660933,5,0.843935927,-1.091289815,,,,,,,,,
509,Amusement,gpt-4-turbo,2.438717527,2,9.274141876,-1.096518528,,,,,,,,,
510,Craving,gpt-5.2-chat-latest,2.392613965,8,0.822425629,-1.112650214,,,,,,,,,
511,Craving,gpt-5.1,2.364504432,7,0.825171625,-1.12248577,,,,,,,,,
512,Romance,gpt-4-turbo,2.36443195,12,1.385354691,-1.122511132,,,,,,,,,
513,Amusement,gpt-5-nano,2.34341987,5,8.176659039,-1.129863281,,,,,,,,,
514,Amusement,gpt-5-mini,2.341111299,9,7.279633867,-1.130671052,,,,,,,,,
515,Romance,gpt-5.2-chat-latest,2.338085771,10,1.450800915,-1.131729688,,,,,,,,,
516,Amusement,gpt-5.2,2.294172269,4,8.239359268,-1.14709507,,,,,,,,,
517,Amusement,gpt-5.1-chat-latest,2.291597194,8,7.423798627,-1.147996091,,,,,,,,,
518,Amusement,gpt-4.1-mini,2.290382198,12,6.822883295,-1.14842122,,,,,,,,,
519,Amusement,gpt-5.1,2.289795213,3,8.771624714,-1.148626606,,,,,,,,,
520,Amusement,gpt-4o,2.267909041,7,7.459038902,-1.156284601,,,,,,,,,
521,Romance,gpt-5.1,2.201199861,2,1.737299771,-1.179626215,,,,,,,,,
522,Amusement,gpt-5.2-chat-latest,2.176614954,13,6.747368421,-1.1882285,,,,,,,,,
523,Romance,gpt-5-nano,2.118279148,1,1.798169336,-1.208640261,,,,,,,,,
524,Romance,gpt-5.2,2.071231685,7,1.497025172,-1.225102219,,,,,,,,,
525,Romance,gpt-5.1-chat-latest,2.01291615,3,1.722654462,-1.245506888,,,,,,,,,
526,Amusement,gpt-4.1,1.993861346,6,8.086498856,-1.252174184,,,,,,,,,
527,Romance,gpt-5-mini,1.952939128,4,1.629748284,-1.266492912,,,,,,,,,
528,Romance,gpt-4.1-nano,1.941156963,11,1.431121281,-1.270615504,,,,,,,,,
529,Romance,gpt-5.2-pro,1.929770615,6,1.51395881,-1.2745996,,,,,,,,,
530,Romance,gpt-4.1,1.884190845,8,1.495194508,-1.29054801,,,,,,,,,
531,Romance,gpt-4o,1.869556753,5,1.568421053,-1.295668495,,,,,,,,,
532,Boredom,gpt-3.5-turbo,1.786264714,17,0.052173913,-1.324812468,,,,,,,,,
533,Boredom,gpt-5.1,1.715412471,9,0.062700229,-1.349603744,,,,,,,,,
534,Boredom,gpt-5,1.635373603,10,0.062242563,-1.37760943,,,,,,,,,
535,Boredom,gpt-5.2-pro,1.631195151,7.5,0.072768879,-1.379071475,,,,,,,,,
536,Boredom,gpt-4,1.582460455,6,0.081006865,-1.396123798,,,,,,,,,
537,Boredom,gpt-5.2,1.567548022,7.5,0.072768879,-1.401341674,,,,,,,,,
538,Boredom,gpt-5.2-chat-latest,1.556589913,14.5,0.055377574,-1.405175928,,,,,,,,,
539,Boredom,gpt-5-mini,1.530451429,16,0.053546911,-1.414321812,,,,,,,,,
540,Boredom,gpt-4.1,1.352141439,12,0.056292906,-1.476712669,,,,,,,,,
541,Boredom,chatgpt-4o-latest,1.350403695,14.5,0.055377574,-1.477320707,,,,,,,,,
542,Boredom,gpt-4-turbo,1.337828863,12,0.056292906,-1.481720654,,,,,,,,,
543,Boredom,gpt-5-nano,1.335628146,12,0.056292906,-1.482490688,,,,,,,,,
544,Envy,gpt-5-nano,0.585786438,1,0.000915332,-1.744861107,,,,,,,,,
545,Envy,gpt-5-mini,0.292893219,2.5,0.000457666,-1.847344759,,,,,,,,,
546,Envy,gpt-5.2-pro,0.292893219,2.5,0.000457666,-1.847344759,,,,,,,,,
547,Guilt,gpt-4.1-mini,0,10.5,0,-1.949828411,,,,,,,,,
548,Guilt,gpt-4.1-nano,0,10.5,0,-1.949828411,,,,,,,,,
549,Guilt,gpt-4-turbo,0,1.5,0.004576659,-1.949828411,,,,,,,,,
550,Guilt,gpt-4.1,0,3,0.000457666,-1.949828411,,,,,,,,,
551,Guilt,gpt-4,0,10.5,0,-1.949828411,,,,,,,,,
552,Guilt,gpt-3.5-turbo,0,10.5,0,-1.949828411,,,,,,,,,
553,Envy,gpt-4.1,0,10.5,0,-1.949828411,,,,,,,,,
554,Envy,gpt-4.1-mini,0,10.5,0,-1.949828411,,,,,,,,,
555,Envy,gpt-4.1-nano,0,10.5,0,-1.949828411,,,,,,,,,
556,Guilt,gpt-5.2-pro,0,10.5,0,-1.949828411,,,,,,,,,
557,Guilt,gpt-4o-mini,0,1.5,0.004576659,-1.949828411,,,,,,,,,
558,Envy,gpt-5.2,0,10.5,0,-1.949828411,,,,,,,,,
559,Guilt,gpt-5.2,0,10.5,0,-1.949828411,,,,,,,,,
560,Guilt,chatgpt-4o-latest,0,10.5,0,-1.949828411,,,,,,,,,
561,Envy,gpt-3.5-turbo,0,10.5,0,-1.949828411,,,,,,,,,
562,Envy,gpt-4,0,10.5,0,-1.949828411,,,,,,,,,
563,Envy,gpt-4-turbo,0,10.5,0,-1.949828411,,,,,,,,,
564,Envy,gpt-5,0,10.5,0,-1.949828411,,,,,,,,,
565,Envy,gpt-5.1-chat-latest,0,10.5,0,-1.949828411,,,,,,,,,
566,Envy,gpt-5.2-chat-latest,0,10.5,0,-1.949828411,,,,,,,,,
567,Guilt,gpt-5.1-chat-latest,0,10.5,0,-1.949828411,,,,,,,,,
568,Envy,gpt-4o,0,10.5,0,-1.949828411,,,,,,,,,
569,Envy,gpt-4o-mini,0,10.5,0,-1.949828411,,,,,,,,,
570,Envy,gpt-5.1,0,10.5,0,-1.949828411,,,,,,,,,
571,Guilt,gpt-5.2-chat-latest,0,10.5,0,-1.949828411,,,,,,,,,
572,Guilt,gpt-5-mini,0,10.5,0,-1.949828411,,,,,,,,,
573,Guilt,gpt-5-nano,0,10.5,0,-1.949828411,,,,,,,,,
574,Guilt,gpt-4o,0,10.5,0,-1.949828411,,,,,,,,,
575,Guilt,gpt-5,0,10.5,0,-1.949828411,,,,,,,,,
576,Guilt,gpt-5.1,0,10.5,0,-1.949828411,,,,,,,,,
577,Envy,chatgpt-4o-latest,0,10.5,0,-1.949828411,,,,,,,,,
