,emotion,model,total_difference,rank,mean_score,z_diff,strength,,,,,,,,
59,Admiration,gpt-5.2,8.888766984,14,0.91624714,1.160360704,,,,,Awkwardness,gpt-4.1,0.553850636,,
60,Anger,gpt-4o,8.873696584,15,0.102059497,1.155087555,,,,,Sympathy,gpt-5-mini,0.45522678,,
61,Awkwardness,gpt-4.1,8.86161018,1,0.737757437,1.150858509,Strong/Divergent,,,,,,,,
62,Anger,gpt-5,8.856559997,9,0.21006865,1.149091445,,,,,,,,,
63,Disappointment,gpt-5.1,8.789011471,12.5,0.033409611,1.125456143,,,,,,,,,
64,Empathic-Pain,gpt-4,8.750416415,16,0.345537757,1.111951692,,,,,,,,,
65,Entrancement,gpt-5.1,8.721355028,9,0.441647597,1.101783081,,,,,,,,,
66,Contempt,gpt-4.1-nano,8.71364793,3,0.213272311,1.099086359,Strong/Divergent,,,,,,,,
67,Sympathy,gpt-5.1,8.703751024,12,0.634782609,1.095623421,,,,,,,,,
68,Surprise,gpt-4.1-nano,8.700891643,17,0.886498856,1.094622921,,,,,,,,,
69,Contempt,gpt-4.1-mini,8.639569371,1,0.238901602,1.073166192,Strong/Divergent,,,,,,,,
70,Entrancement,gpt-4.1,8.587443652,10,0.22791762,1.054927347,,,,,,,,,
71,Entrancement,gpt-5-mini,8.577715812,4,0.885583524,1.051523565,Strong/Divergent,,,,,,,,
72,Awkwardness,gpt-4.1-nano,8.509621278,13,0.22791762,1.027697214,,,,,,,,,
73,Confusion,gpt-4.1-nano,8.493730638,9,0.271395881,1.022137062,,,,,,,,,
74,Empathic-Pain,gpt-5.2-chat-latest,8.4713726,13,0.495652174,1.014313961,,,,,,,,,
75,Pride,chatgpt-4o-latest,8.469451686,10,0.151029748,1.013641831,,,,,,,,,
76,Anger,gpt-5.1-chat-latest,8.4555719,11,0.138672769,1.008785279,,,,,,,,,
77,Adoration,gpt-4,8.45139559,13,0.774828375,1.007323984,,,,,,,,,
78,Admiration,gpt-5.2-pro,8.420724794,17,0.844393593,0.996592239,,,,,,,,,
79,Admiration,gpt-5.1,8.418092923,5,3.009153318,0.995671345,Strong/Divergent,,,,,,,,
80,Disappointment,gpt-5.1-chat-latest,8.403535816,15,0.013272311,0.990577797,,,,,,,,,
81,Horror,gpt-3.5-turbo,8.402655696,17,0.478718535,0.990269842,,,,,,,,,
82,Anxiety,gpt-4,8.360802118,16,0.643935927,0.975625231,,,,,,,,,
83,Entrancement,gpt-5.2-pro,8.307535047,3,0.895194508,0.956987025,Strong/Divergent,,,,,,,,
84,Anger,gpt-5.1,8.301135467,12,0.135926773,0.954747805,,,,,,,,,
85,Satisfaction,gpt-3.5-turbo,8.286690925,17,0.132265446,0.949693644,,,,,,,,,
86,Admiration,chatgpt-4o-latest,8.283040314,7,2.145080092,0.948416292,,,,,,,,,
87,Empathic-Pain,gpt-5-nano,8.261430288,11,0.68604119,0.94085492,,,,,,,,,
88,Anxiety,gpt-5.1,8.247084372,2,2.188100686,0.935835269,Strong/Divergent,,,,,,,,
89,Pride,gpt-4.1,8.223095171,7,0.170251716,0.927441422,,,,,,,,,
90,Admiration,gpt-5.2-chat-latest,8.145814163,11,1.315789474,0.900400714,,,,,,,,,
91,Entrancement,gpt-5.1-chat-latest,8.142910601,8,0.549199085,0.899384755,,,,,,,,,
92,Triumph,gpt-4.1-nano,8.095507892,14,0.156521739,0.882798496,,,,,,,,,
93,Disappointment,gpt-3.5-turbo,8.079504158,3,0.103432494,0.877198772,Strong/Divergent,,,,,,,,
94,Entrancement,gpt-5,8.075090016,7,0.562929062,0.875654259,,,,,,,,,
95,Awkwardness,gpt-5-nano,8.067629298,2,0.714874142,0.873043746,Strong/Divergent,,,,,,,,
96,Confusion,gpt-5.1,8.064504146,11,0.216475973,0.871950252,,,,,,,,,
97,Awkwardness,gpt-5.2-pro,8.059274299,4,0.542791762,0.870120323,Strong/Divergent,,,,,,,,
98,Satisfaction,gpt-4.1-nano,8.046873278,16,0.226544622,0.865781192,,,,,,,,,
99,Anxiety,gpt-5.2-pro,8.023781265,5,1.612356979,0.857701272,Strong/Divergent,,,,,,,,
100,Pride,gpt-5-nano,8.002292543,11,0.126773455,0.850182345,,,,,,,,,
101,Sexual-Desire,gpt-4.1-nano,8.00168704,16,0.129519451,0.849970479,,,,,,,,,
102,Admiration,gpt-4o,7.989321054,10,1.403203661,0.845643607,,,,,,,,,
103,Entrancement,gpt-5.2-chat-latest,7.984546107,6,0.616933638,0.843972848,,,,,,,,,
104,Anger,chatgpt-4o-latest,7.976660948,13,0.133638444,0.841213823,,,,,,,,,
105,Triumph,gpt-5.2,7.967556148,12,0.214187643,0.838028043,,,,,,,,,
106,Triumph,gpt-4-turbo,7.944936462,16,0.084210526,0.830113391,,,,,,,,,
107,Relief,gpt-5.2-pro,7.936971315,14,0.274599542,0.827326377,,,,,,,,,
108,Anger,gpt-4.1-mini,7.924402635,3,0.616475973,0.822928583,Strong/Divergent,,,,,,,,
109,Empathic-Pain,gpt-4o-mini,7.885156398,12,0.542791762,0.809196282,,,,,,,,,
110,Sympathy,gpt-4.1,7.866534264,14,0.487414188,0.802680377,,,,,,,,,
111,Awkwardness,gpt-4.1-mini,7.858032274,12,0.273684211,0.799705522,,,,,,,,,
112,Anger,gpt-3.5-turbo,7.857011417,2,0.66590389,0.799348323,Strong/Divergent,,,,,,,,
113,Anger,gpt-4o-mini,7.835581653,4,0.460411899,0.791850026,Strong/Divergent,,,,,,,,
114,Anger,gpt-5.2-chat-latest,7.835057576,8,0.266361556,0.791666651,,,,,,,,,
115,Pride,gpt-4.1-mini,7.825872556,2,0.414187643,0.788452802,Strong/Divergent,,,,,,,,
116,Anxiety,gpt-4o,7.824300225,14,1.049885584,0.787902642,,,,,,,,,
117,Sympathy,gpt-4o,7.818960439,8,0.935926773,0.786034245,,,,,,,,,
118,Triumph,gpt-5.2-pro,7.810404158,10,0.259038902,0.783040393,,,,,,,,,
119,Anxiety,gpt-4.1,7.776293374,7,1.325858124,0.771104993,,,,,,,,,
120,Relief,gpt-5.2-chat-latest,7.770861382,15,0.243478261,0.769204333,,,,,,,,,
121,Anger,gpt-4,7.762091095,6,0.352860412,0.766135601,,,,,,,,,
122,Empathic-Pain,gpt-4-turbo,7.748294294,9,0.900228833,0.761308085,,,,,,,,,
123,Surprise,gpt-3.5-turbo,7.737391564,12,2.351487414,0.757493208,,,,,,,,,
124,Awkwardness,gpt-5,7.7355876,11,0.31624714,0.756861999,,,,,,,,,
125,Sexual-Desire,gpt-5.1-chat-latest,7.704572385,15,0.189473684,0.746009742,,,,,,,,,
126,Anxiety,gpt-4o-mini,7.701367858,1,2.210526316,0.744888475,Strong/Divergent,,,,,,,,
127,Pride,gpt-4o-mini,7.634566247,1,0.423798627,0.721514519,Strong/Divergent,,,,,,,,
128,Sympathy,gpt-5.1-chat-latest,7.614218898,10,0.85812357,0.71439496,,,,,,,,,
129,Anxiety,gpt-5-mini,7.590831739,9,1.243935927,0.706211768,,,,,,,,,
130,Pride,gpt-4o,7.589122959,5,0.21006865,0.705613864,Strong/Divergent,,,,,,,,
131,Disappointment,gpt-5.2-pro,7.541542699,14,0.025629291,0.68896548,,,,,,,,,
132,Admiration,gpt-5-mini,7.509218435,4,3.107093822,0.677655185,Strong/Divergent,,,,,,,,
133,Sympathy,gpt-4o-mini,7.482598117,13,0.515331808,0.668340707,,,,,,,,,
134,Triumph,gpt-5-nano,7.47577939,2,0.627459954,0.665954827,Strong/Divergent,,,,,,,,
135,Anxiety,gpt-5,7.471304817,3,2.097940503,0.66438917,Strong/Divergent,,,,,,,,
136,Sympathy,chatgpt-4o-latest,7.449931968,11,0.773913043,0.656910787,,,,,,,,,
137,Admiration,gpt-4.1-mini,7.422341716,2,3.869565217,0.647256928,Strong/Divergent,,,,,,,,
138,Confusion,gpt-5,7.413688147,16,0.135469108,0.644229035,,,,,,,,,
139,Empathic-Pain,gpt-5,7.399923559,8,0.989473684,0.639412791,,,,,,,,,
140,Disappointment,gpt-4.1-mini,7.362886571,1,0.225629291,0.626453509,Strong/Divergent,,,,,,,,
141,Anger,gpt-5.2-pro,7.355726054,7,0.305263158,0.623948036,,,,,,,,,
142,Sympathy,gpt-5,7.347357185,6,1.057665904,0.62101976,,,,,,,,,
143,Awkwardness,gpt-4o,7.32099255,5,0.511670481,0.611794746,Strong/Divergent,,,,,,,,
144,Admiration,gpt-5,7.313615248,9,1.598169336,0.60921342,,,,,,,,,
145,Anxiety,gpt-4-turbo,7.290804792,13,1.050343249,0.601232017,,,,,,,,,
146,Sympathy,gpt-5-mini,7.283628478,2,1.281464531,0.598721017,Strong/Divergent,,,,,,,,
147,Awkwardness,gpt-5.1-chat-latest,7.232456642,3,0.586727689,0.580815937,Strong/Divergent,,,,,,,,
148,Empathic-Pain,gpt-5.2-pro,7.227332401,10,0.727231121,0.579022959,,,,,,,,,
149,Anxiety,gpt-4.1-mini,7.224023461,10,1.171624714,0.577865157,,,,,,,,,
150,Admiration,gpt-5.1-chat-latest,7.214806763,8,1.851258581,0.574640225,,,,,,,,,
151,Anxiety,gpt-5.1-chat-latest,7.193869764,8,1.246681922,0.567314346,,,,,,,,,
152,Triumph,gpt-4.1-mini,7.183860319,8,0.296567506,0.563812031,,,,,,,,,
153,Anxiety,gpt-5.2-chat-latest,7.169194941,11,1.160640732,0.558680599,,,,,,,,,
154,Contempt,gpt-3.5-turbo,7.162105143,9,0.083295195,0.556199871,,,,,,,,,
155,Sympathy,gpt-4-turbo,7.158972797,3,1.237528604,0.55510386,Strong/Divergent,,,,,,,,
156,Contempt,gpt-5.2-pro,7.139858441,17,0.023798627,0.548415726,,,,,,,,,
157,Contempt,gpt-5.1,7.139092593,10,0.080091533,0.548147756,,,,,,,,,
158,Contempt,gpt-4o,7.134920814,4,0.212356979,0.546688046,Strong/Divergent,,,,,,,,
159,Triumph,gpt-5,7.09902065,11,0.215102975,0.53412654,,,,,,,,,
160,Awkwardness,gpt-4o-mini,7.070720401,9,0.376201373,0.524224252,,,,,,,,,
161,Relief,gpt-5.1,7.067021028,6,0.513043478,0.522929838,,,,,,,,,
162,Awkwardness,gpt-5-mini,7.042631322,7,0.500686499,0.514395853,,,,,,,,,
163,Admiration,gpt-4.1,7.026363365,6,2.742334096,0.508703678,,,,,,,,,
164,Anger,gpt-5-mini,7.006295641,5,0.359267735,0.501681959,Strong/Divergent,,,,,,,,
165,Anxiety,gpt-5.2,6.99328744,4,1.970709382,0.497130376,,,,,,,,,
166,Craving,gpt-4o-mini,6.990202149,16,0.253089245,0.496050829,,,,,,,,,
167,Sympathy,gpt-5.2-pro,6.975896388,4,1.204118993,0.491045228,,,,,,,,,
168,Sympathy,gpt-4.1-mini,6.961331892,7,0.962471396,0.485949095,,,,,,,,,
169,Sympathy,gpt-5.2,6.944101494,9,0.917162471,0.479920161,,,,,,,,,
170,Satisfaction,gpt-4-turbo,6.939734989,1,0.99221968,0.478392316,,,,,,,,,
171,Boredom,gpt-4o,6.939060686,2,0.094279176,0.478156376,,,,,,,,,
172,Satisfaction,gpt-4o-mini,6.926226803,5,0.506636156,0.473665787,,,,,,,,,
173,Adoration,gpt-5,6.912571308,6,2.911670481,0.468887715,,,,,,,,,
174,Empathic-Pain,gpt-5-mini,6.907270911,4,1.755148741,0.4670331,,,,,,,,,
175,Awkwardness,gpt-5.1,6.888834603,6,0.508924485,0.460582216,,,,,,,,,
176,Empathic-Pain,gpt-4o,6.885765641,7,1.125400458,0.459508383,,,,,,,,,
177,Confusion,gpt-5-nano,6.883777673,17,0.132265446,0.458812791,,,,,,,,,
178,Awkwardness,gpt-4-turbo,6.878042538,14,0.216933638,0.456806061,,,,,,,,,
179,Contempt,chatgpt-4o-latest,6.870122388,2,0.23798627,0.454034792,,,,,,,,,
