video_id,cosine_distance
24,1
32,1
66,1
67,1
95,1
108,1
153,1
194,1
197,1
238,1
239,1
244,1
245,1
269,1
326,1
338,1
356,1
362,1
408,1
417,1
420,1
434,1
437,1
441,1
474,1
483,1
505,1
513,1
522,1
524,1
527,1
528,1
543,1
547,1
559,1
581,1
613,1
614,1
624,1
632,1
700,1
703,1
721,1
724,1
727,1
746,1
765,1
767,1
778,1
782,1
790,1
801,1
823,1
840,1
882,1
886,1
917,1
926,1
929,1
979,1
990,1
995,1
1010,1
1017,1
1019,1
1036,1
1064,1
1076,1
1091,1
1094,1
1109,1
1114,1
1134,1
1155,1
1170,1
1184,1
1197,1
1202,1
1214,1
1217,1
1222,1
1246,1
1258,1
1276,1
1280,1
1281,1
1361,1
1367,1
1371,1
1391,1
1406,1
1414,1
1432,1
1442,1
1520,1
1549,1
1563,1
1575,1
1604,1
1626,1
1635,1
1650,1
1691,1
1698,1
1703,1
1724,1
1739,1
1765,1
1777,1
1786,1
1808,1
1820,1
1830,1
1845,1
1869,1
1908,1
1910,1
1940,1
1943,1
1954,1
1963,1
1990,1
2009,1
2029,1
2048,1
2051,1
2067,1
2094,1
2119,1
2126,1
2142,1
2148,1
2151,1
2169,1
59,0.999615532
62,0.999615532
82,0.999615532
209,0.999615532
254,0.999615532
323,0.999615532
398,0.999615532
466,0.999615532
479,0.999615532
670,0.999615532
726,0.999615532
817,0.999615532
906,0.999615532
933,0.999615532
942,0.999615532
993,0.999615532
1054,0.999615532
1084,0.999615532
1095,0.999615532
1113,0.999615532
1225,0.999615532
1227,0.999615532
1535,0.999615532
1726,0.999615532
1750,0.999615532
1800,0.999615532
1831,0.999615532
1933,0.999615532
1939,0.999615532
2054,0.999615532
2075,0.999615532
2130,0.999615532
2153,0.999615532
2174,0.999615532
79,0.996155325
120,0.996155325
132,0.996155325
155,0.996155325
200,0.996155325
203,0.996155325
218,0.996155325
232,0.996155325
255,0.996155325
259,0.996155325
383,0.996155325
431,0.996155325
471,0.996155325
488,0.996155325
533,0.996155325
544,0.996155325
568,0.996155325
646,0.996155325
695,0.996155325
720,0.996155325
729,0.996155325
736,0.996155325
763,0.996155325
811,0.996155325
877,0.996155325
888,0.996155325
893,0.996155325
908,0.996155325
936,0.996155325
949,0.996155325
987,0.996155325
1049,0.996155325
1058,0.996155325
1129,0.996155325
1215,0.996155325
1304,0.996155325
1335,0.996155325
1342,0.996155325
1362,0.996155325
1365,0.996155325
1369,0.996155325
1389,0.996155325
1528,0.996155325
1538,0.996155325
1550,0.996155325
1573,0.996155325
1594,0.996155325
1618,0.996155325
1625,0.996155325
1706,0.996155325
1794,0.996155325
1862,0.996155325
1885,0.996155325
1904,0.996155325
1912,0.996155325
388,0.99231065
831,0.99231065
988,0.99231065
1005,0.99231065
1139,0.99231065
1932,0.99231065
1970,0.99231065
40,0.980776624
54,0.980776624
71,0.980776624
75,0.980776624
83,0.980776624
88,0.980776624
159,0.980776624
223,0.980776624
283,0.980776624
314,0.980776624
382,0.980776624
424,0.980776624
456,0.980776624
491,0.980776624
523,0.980776624
653,0.980776624
685,0.980776624
747,0.980776624
868,0.980776624
879,0.980776624
946,0.980776624
1201,0.980776624
1229,0.980776624
1256,0.980776624
1265,0.980776624
1331,0.980776624
1332,0.980776624
1381,0.980776624
1402,0.980776624
1454,0.980776624
1471,0.980776624
1497,0.980776624
1578,0.980776624
1590,0.980776624
1634,0.980776624
1643,0.980776624
1736,0.980776624
1762,0.980776624
1775,0.980776624
1883,0.980776624
1896,0.980776624
1922,0.980776624
1938,0.980776624
1955,0.980776624
1958,0.980776624
1979,0.980776624
2036,0.980776624
2037,0.980776624
2134,0.980776624
2147,0.980776624
2160,0.980776624
41,0.976931949
177,0.976931949
799,0.976931949
869,0.976931949
894,0.976931949
922,0.976931949
1070,0.976931949
1151,0.976931949
1182,0.976931949
1187,0.976931949
1353,0.976931949
1356,0.976931949
1405,0.976931949
1516,0.976931949
1533,0.976931949
1638,0.976931949
1649,0.976931949
1806,0.976931949
1813,0.976931949
1898,0.976931949
1924,0.976931949
2017,0.976931949
21,0.961553249
30,0.961553249
99,0.961553249
124,0.961553249
128,0.961553249
163,0.961553249
181,0.961553249
214,0.961553249
266,0.961553249
295,0.961553249
321,0.961553249
415,0.961553249
461,0.961553249
607,0.961553249
621,0.961553249
725,0.961553249
734,0.961553249
750,0.961553249
825,0.961553249
841,0.961553249
866,0.961553249
885,0.961553249
910,0.961553249
959,0.961553249
976,0.961553249
986,0.961553249
1065,0.961553249
1077,0.961553249
1108,0.961553249
1127,0.961553249
1159,0.961553249
1178,0.961553249
1221,0.961553249
1346,0.961553249
1386,0.961553249
1403,0.961553249
1429,0.961553249
1430,0.961553249
1433,0.961553249
1453,0.961553249
1513,0.961553249
1562,0.961553249
1589,0.961553249
1593,0.961553249
1632,0.961553249
1670,0.961553249
1690,0.961553249
1744,0.961553249
1792,0.961553249
1793,0.961553249
1810,0.961553249
1919,0.961553249
2004,0.961553249
2076,0.961553249
2120,0.961553249
233,0.961168781
396,0.961168781
403,0.961168781
691,0.961168781
1138,0.961168781
1162,0.961168781
1259,0.961168781
1284,0.961168781
1328,0.961168781
1527,0.961168781
1627,0.961168781
1893,0.961168781
1914,0.961168781
1950,0.961168781
2116,0.961168781
37,0.942329873
50,0.942329873
87,0.942329873
89,0.942329873
175,0.942329873
318,0.942329873
353,0.942329873
409,0.942329873
552,0.942329873
579,0.942329873
620,0.942329873
649,0.942329873
658,0.942329873
717,0.942329873
722,0.942329873
751,0.942329873
772,0.942329873
776,0.942329873
934,0.942329873
943,0.942329873
985,0.942329873
1035,0.942329873
1063,0.942329873
1072,0.942329873
1087,0.942329873
1122,0.942329873
1135,0.942329873
1188,0.942329873
1287,0.942329873
1320,0.942329873
1368,0.942329873
1474,0.942329873
1510,0.942329873
1557,0.942329873
1564,0.942329873
1741,0.942329873
1867,0.942329873
1889,0.942329873
1981,0.942329873
53,0.923106498
143,0.923106498
348,0.923106498
515,0.923106498
535,0.923106498
545,0.923106498
651,0.923106498
660,0.923106498
743,0.923106498
838,0.923106498
1247,0.923106498
1306,0.923106498
1517,0.923106498
1721,0.923106498
1916,0.923106498
1986,0.923106498
2023,0.923106498
2140,0.923106498
4,0.807766244
7,0.807766244
56,0.807766244
86,0.807766244
106,0.807766244
107,0.807766244
115,0.807766244
122,0.807766244
125,0.807766244
129,0.807766244
160,0.807766244
165,0.807766244
179,0.807766244
241,0.807766244
285,0.807766244
