,,,video_id,cosine_distance
2158,0.976931949,,,
2184,0.976931949,,,
157,0.961553249,,,
215,0.961553249,,,
311,0.961553249,,,
321,0.961553249,,,
403,0.961553249,,,
415,0.961553249,,,
451,0.961553249,,,
467,0.961553249,,,
471,0.961553249,,,
474,0.961553249,,,
485,0.961553249,,,
505,0.961553249,,,
528,0.961553249,,,
683,0.961553249,,,
742,0.961553249,,,
797,0.961553249,,,
821,0.961553249,,,
840,0.961553249,,,
852,0.961553249,,,
921,0.961553249,,,
998,0.961553249,,,
1021,0.961553249,,,
1092,0.961553249,,,
1139,0.961553249,,,
1178,0.961553249,,,
1214,0.961553249,,,
1314,0.961553249,,,
1328,0.961553249,,,
1335,0.961553249,,,
1344,0.961553249,,,
1474,0.961553249,,,
1478,0.961553249,,,
1488,0.961553249,,,
1489,0.961553249,,,
1587,0.961553249,,,
1589,0.961553249,,,
1682,0.961553249,,,
1777,0.961553249,,,
1842,0.961553249,,,
1844,0.961553249,,,
1900,0.961553249,,,
1904,0.961553249,,,
1919,0.961553249,,,
1955,0.961553249,,,
1981,0.961553249,,,
2005,0.961553249,,,
2037,0.961553249,,,
2122,0.961553249,,,
326,0.961545856,,,
1274,0.961545856,,,
1509,0.961545856,,,
218,0.961168781,,,
329,0.961168781,,,
795,0.961168781,,,
892,0.961168781,,,
931,0.961168781,,,
1058,0.961168781,,,
1395,0.961168781,,,
1465,0.961168781,,,
1573,0.961168781,,,
1578,0.961168781,,,
1786,0.961168781,,,
1810,0.961168781,,,
1830,0.961168781,,,
1916,0.961168781,,,
1939,0.961168781,,,
1970,0.961168781,,,
87,0.942329873,,,
94,0.942329873,,,
99,0.942329873,,,
109,0.942329873,,,
117,0.942329873,,,
182,0.942329873,,,
290,0.942329873,,,
296,0.942329873,,,
325,0.942329873,,,
360,0.942329873,,,
362,0.942329873,,,
404,0.942329873,,,
472,0.942329873,,,
510,0.942329873,,,
608,0.942329873,,,
629,0.942329873,,,
636,0.942329873,,,
708,0.942329873,,,
727,0.942329873,,,
754,0.942329873,,,
771,0.942329873,,,
822,0.942329873,,,
858,0.942329873,,,
862,0.942329873,,,
922,0.942329873,,,
934,0.942329873,,,
981,0.942329873,,,
1005,0.942329873,,,
1024,0.942329873,,,
1057,0.942329873,,,
1099,0.942329873,,,
1108,0.942329873,,,
1176,0.942329873,,,
1215,0.942329873,,,
1225,0.942329873,,,
1243,0.942329873,,,
1258,0.942329873,,,
1368,0.942329873,,,
1374,0.942329873,,,
1381,0.942329873,,,
1393,0.942329873,,,
1522,0.942329873,,,
1572,0.942329873,,,
1585,0.942329873,,,
1607,0.942329873,,,
1706,0.942329873,,,
1725,0.942329873,,,
1768,0.942329873,,,
1845,0.942329873,,,
1862,0.942329873,,,
1881,0.942329873,,,
1885,0.942329873,,,
1929,0.942329873,,,
1958,0.942329873,,,
2088,0.942329873,,,
2093,0.942329873,,,
2094,0.942329873,,,
2107,0.942329873,,,
2117,0.942329873,,,
2135,0.942329873,,,
2171,0.942329873,,,
536,0.942318784,,,
17,0.923106498,,,
26,0.923106498,,,
73,0.923106498,,,
180,0.923106498,,,
317,0.923106498,,,
348,0.923106498,,,
397,0.923106498,,,
459,0.923106498,,,
533,0.923106498,,,
580,0.923106498,,,
645,0.923106498,,,
693,0.923106498,,,
1012,0.923106498,,,
1120,0.923106498,,,
1187,0.923106498,,,
1426,0.923106498,,,
1439,0.923106498,,,
1554,0.923106498,,,
1620,0.923106498,,,
1693,0.923106498,,,
1781,0.923106498,,,
1890,0.923106498,,,
1897,0.923106498,,,
1986,0.923106498,,,
2181,0.923106498,,,
19,0.807766244,,,
41,0.807766244,,,
54,0.807766244,,,
63,0.807766244,,,
106,0.807766244,,,
111,0.807766244,,,
171,0.807766244,,,
177,0.807766244,,,
214,0.807766244,,,
253,0.807766244,,,
282,0.807766244,,,
307,0.807766244,,,
308,0.807766244,,,
315,0.807766244,,,
352,0.807766244,,,
375,0.807766244,,,
388,0.807766244,,,
432,0.807766244,,,
438,0.807766244,,,
457,0.807766244,,,
482,0.807766244,,,
484,0.807766244,,,
523,0.807766244,,,
539,0.807766244,,,
543,0.807766244,,,
556,0.807766244,,,
578,0.807766244,,,
586,0.807766244,,,
592,0.807766244,,,
669,0.807766244,,,
703,0.807766244,,,
722,0.807766244,,,
772,0.807766244,,,
805,0.807766244,,,
834,0.807766244,,,
837,0.807766244,,,
885,0.807766244,,,
888,0.807766244,,,
908,0.807766244,,,
930,0.807766244,,,
948,0.807766244,,,
949,0.807766244,,,
958,0.807766244,,,
985,0.807766244,,,
1030,0.807766244,,,
1036,0.807766244,,,
1037,0.807766244,,,
1067,0.807766244,,,
1077,0.807766244,,,
1084,0.807766244,,,
1097,0.807766244,,,
1126,0.807766244,,,
1129,0.807766244,,,
1140,0.807766244,,,
1150,0.807766244,,,
1163,0.807766244,,,
1170,0.807766244,,,
1175,0.807766244,,,
1184,0.807766244,,,
1220,0.807766244,,,
1236,0.807766244,,,
1265,0.807766244,,,
1306,0.807766244,,,
1310,0.807766244,,,
1334,0.807766244,,,
1343,0.807766244,,,
1365,0.807766244,,,
1376,0.807766244,,,
1379,0.807766244,,,
1403,0.807766244,,,
1413,0.807766244,,,
1417,0.807766244,,,
1429,0.807766244,,,
1440,0.807766244,,,
1454,0.807766244,,,
1480,0.807766244,,,
1487,0.807766244,,,
1523,0.807766244,,,
1528,0.807766244,,,
1547,0.807766244,,,
