video_id,cosine_distance
11,1
24,1
56,1
59,1
85,1
155,1
232,1
238,1
263,1
266,1
323,1
338,1
383,1
398,1
414,1
420,1
439,1
461,1
501,1
513,1
522,1
524,1
547,1
613,1
614,1
632,1
644,1
649,1
695,1
699,1
726,1
742,1
765,1
767,1
769,1
790,1
823,1
834,1
868,1
906,1
917,1
930,1
958,1
1021,1
1058,1
1094,1
1114,1
1161,1
1170,1
1190,1
1197,1
1214,1
1217,1
1227,1
1258,1
1356,1
1362,1
1397,1
1404,1
1406,1
1414,1
1430,1
1513,1
1514,1
1520,1
1549,1
1550,1
1563,1
1593,1
1618,1
1643,1
1650,1
1709,1
1724,1
1739,1
1795,1
1800,1
1819,1
1845,1
1869,1
1940,1
1954,1
1990,1
2011,1
2048,1
2054,1
2120,1
2151,1
2153,1
2169,1
437,0.999615532
471,0.999615532
736,0.999615532
833,0.999615532
951,0.999615532
993,0.999615532
1100,0.999615532
1116,0.999615532
1201,0.999615532
1251,0.999615532
1342,0.999615532
1454,0.999615532
1489,0.999615532
1502,0.999615532
1765,0.999615532
1808,0.999615532
1858,0.999615532
2047,0.999615532
2066,0.999615532
99,0.996155325
132,0.996155325
163,0.996155325
194,0.996155325
214,0.996155325
216,0.996155325
220,0.996155325
223,0.996155325
259,0.996155325
265,0.996155325
275,0.996155325
308,0.996155325
352,0.996155325
362,0.996155325
382,0.996155325
387,0.996155325
443,0.996155325
479,0.996155325
491,0.996155325
544,0.996155325
581,0.996155325
685,0.996155325
745,0.996155325
746,0.996155325
763,0.996155325
852,0.996155325
856,0.996155325
943,0.996155325
971,0.996155325
1091,0.996155325
1109,0.996155325
1129,0.996155325
1134,0.996155325
1135,0.996155325
1155,0.996155325
1202,0.996155325
1222,0.996155325
1304,0.996155325
1315,0.996155325
1329,0.996155325
1467,0.996155325
1478,0.996155325
1587,0.996155325
1690,0.996155325
1726,0.996155325
1736,0.996155325
1741,0.996155325
1752,0.996155325
1806,0.996155325
1812,0.996155325
1914,0.996155325
1938,0.996155325
2067,0.996155325
2114,0.996155325
2179,0.996155325
21,0.99231065
54,0.99231065
124,0.99231065
156,0.99231065
690,0.99231065
1005,0.99231065
1070,0.99231065
1538,0.99231065
1777,0.99231065
30,0.980776624
41,0.980776624
71,0.980776624
75,0.980776624
120,0.980776624
197,0.980776624
211,0.980776624
224,0.980776624
246,0.980776624
343,0.980776624
388,0.980776624
415,0.980776624
425,0.980776624
477,0.980776624
543,0.980776624
607,0.980776624
653,0.980776624
668,0.980776624
680,0.980776624
692,0.980776624
700,0.980776624
720,0.980776624
721,0.980776624
777,0.980776624
779,0.980776624
810,0.980776624
817,0.980776624
879,0.980776624
893,0.980776624
942,0.980776624
995,0.980776624
1010,0.980776624
1017,0.980776624
1054,0.980776624
1064,0.980776624
1076,0.980776624
1082,0.980776624
1084,0.980776624
1141,0.980776624
1220,0.980776624
1221,0.980776624
1280,0.980776624
1351,0.980776624
1374,0.980776624
1402,0.980776624
1413,0.980776624
1433,0.980776624
1442,0.980776624
1495,0.980776624
1509,0.980776624
1529,0.980776624
1553,0.980776624
1564,0.980776624
1575,0.980776624
1706,0.980776624
1707,0.980776624
1750,0.980776624
1793,0.980776624
1904,0.980776624
2009,0.980776624
2014,0.980776624
2058,0.980776624
2119,0.980776624
2122,0.980776624
2134,0.980776624
2137,0.980776624
2148,0.980776624
2165,0.980776624
40,0.980392157
985,0.980392157
1501,0.980392157
7,0.976931949
52,0.976931949
136,0.976931949
313,0.976931949
451,0.976931949
536,0.976931949
624,0.976931949
783,0.976931949
877,0.976931949
979,0.976931949
1138,0.976931949
1238,0.976931949
1321,0.976931949
1331,0.976931949
1344,0.976931949
1535,0.976931949
1657,0.976931949
1840,0.976931949
1906,0.976931949
1924,0.976931949
1939,0.976931949
1952,0.976931949
2100,0.976931949
2185,0.976931949
14,0.961553249
195,0.961553249
244,0.961553249
254,0.961553249
306,0.961553249
311,0.961553249
353,0.961553249
355,0.961553249
360,0.961553249
431,0.961553249
510,0.961553249
660,0.961553249
730,0.961553249
772,0.961553249
796,0.961553249
835,0.961553249
862,0.961553249
885,0.961553249
888,0.961553249
1092,0.961553249
1104,0.961553249
1140,0.961553249
1171,0.961553249
1178,0.961553249
1253,0.961553249
1328,0.961553249
1389,0.961553249
1453,0.961553249
