,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
1,-428.127110898386,47.73085419077113,77.0716321781535,204.04447812886207,27.159241414908962,49.474110780777345,21.731124529440546,-73.254020021504,280.1824783766056,-140.6841155687909,27.42569139181751,-48.15170048555857,39.19861701426898,19.41061472949354,104.29019024856134,57.50037186688563,-3.802680078963371
2,-552.093883440805,-3.030156545504445,118.49313252193971,374.31532454230575,40.61740955954054,87.71290535545555,42.5568751023835,-71.46702205308094,170.96070191876606,-256.37524493860565,-31.20959195256848,-76.78636311018421,170.73700761785904,54.86774421894018,104.27698919257683,74.29498158226478,12.876558090044341
4,-502.92180382236444,-5.058234752885559,109.1903350302493,353.38548032515916,36.32485146073922,80.53206808044715,33.3997128257208,-63.90424594803774,160.3160057343672,-205.31981219404196,-31.173140492959956,-70.41048501926426,162.26114114476073,49.50926058391297,94.35360582602175,122.40842314142975,20.831701951364177
5,-519.6031317110273,-18.137615061244876,69.85723744924479,172.21007698636572,24.48771959622,53.6640896793866,13.0896866945032,-12.553217658809913,263.1708666198674,-188.56502414107305,-37.65965520236025,-53.51302908932208,58.13808195496523,32.00309372203458,37.06189969990097,32.417730673354555,25.009625866664102
6,-653.1743333940786,-2.019077122113592,103.36278670063342,225.38423611919418,8.905525369142724,63.56912056659284,17.634737612292742,-89.15854616406253,84.97943039066313,-188.18653278553242,-6.940590920541899,-66.94551634940237,76.045291557873,27.36274373255443,95.81585856144471,46.215462496767955,40.44039957643681
7,-504.37124176756447,1.200729487304232,113.44495485292049,358.21324329281794,37.25797940393318,83.04261761891604,36.82039522951535,-65.9418987557891,163.17778780468487,-217.37239034598272,-29.66965840169868,-91.21631935769247,163.71185050966446,50.74138299445807,99.86314758616646,75.34915030321295,24.772018633944686
8,-205.56168699528982,15.318092905038426,66.47716370039926,123.2251182907305,16.769435894183122,36.85256629625423,19.594739836686614,-29.521129324499125,91.68310075740173,-142.79201384490585,-3.8529657557409487,-83.0096783784376,35.4042957892136,14.09664372047473,66.95718127613726,46.819075788568306,31.868113672927624
9,-276.56001151412727,21.89922990655419,218.4850195426908,122.75409576843049,21.445162192386647,37.55078782210235,13.75946692259357,-35.558330858625396,85.75348957425686,-112.62583119529887,11.549292569729545,-37.18229650486262,40.65297148264496,-11.043927658132613,45.1816264120956,32.76150353990286,3.494568916534839
11,-655.6209486113693,-1.284989192193976,104.11591226092972,226.66499591273018,8.880932016416496,64.02685219475245,18.00877470669808,-90.5781612001928,89.5410353325664,-188.67035611113755,-8.459881129015978,-67.9482208170743,77.03715043384506,27.666550519050613,97.02308127615343,47.41326116545981,39.03389227225423
12,-488.1893451403261,9.035276254839552,88.97193770422297,208.41547593511828,34.93972534873283,59.40945449972925,51.05969156160199,-55.050072690459096,120.71297919755882,-337.81303659337533,-14.957578368307496,-39.18963860646285,64.09190182071147,32.18714764960667,81.57613493263216,47.31941277258575,-44.31680984471058
13,-509.0788799688169,75.14615793963294,78.54011321840883,171.89389337789237,29.098792668498728,53.11147943778284,26.241075722567714,-48.66135670568585,73.35966462500416,-170.54439029732623,-23.025111076238424,-66.08276978078912,62.21786512222372,34.844949856640206,76.82599202139825,80.17367338112027,-86.95017209008823
14,-268.4691785369762,83.35831381017469,197.21146330010677,121.31608406184478,19.842279125764072,37.55481849786442,13.593550721701828,-35.8914014048587,90.69974851625383,-110.78223075822379,19.440433996467668,-34.892756911033764,44.088228503956195,2.0394988815139183,44.925084420937864,28.409482439467904,11.293385692338775
15,-519.6031317110273,-18.137615061244876,69.85723744924479,172.21007698636572,24.48771959622,53.6640896793866,13.0896866945032,-12.553217658809913,263.1708666198674,-188.56502414107305,-37.65965520236025,-53.51302908932208,58.13808195496523,32.00309372203458,37.06189969990097,32.417730673354555,25.009625866664102
16,-454.57795462030157,16.335591756007446,81.65434133892799,167.4659028547787,17.259097154342378,49.16771116638209,-21.317629019322734,-30.01611061045475,131.49683670563397,-351.33751021377765,-19.830266729505563,-60.77248177126062,56.17880936248698,15.121417769893123,67.04724168666898,38.99668231328386,44.80476089966445
17,-202.5718471497471,-4.1819032503744165,42.54691722837215,94.06281312634665,13.013184647254889,26.426991278178456,181.18703084078763,-15.364587183501836,52.1452648072767,-130.49947649889592,-3.081990092331971,-20.89657071672943,21.88482943801855,7.528494902800366,30.041773960409646,-9.379386864799239,-9.101241705722973
18,-354.6215727202963,10.333152708319263,62.84648507125464,137.29214919805364,19.756407382573265,46.651573040980196,18.79750356733161,178.00551133024192,106.19169478698254,-128.24542943338213,-7.57982358246676,-41.33210273995039,64.53220965343189,26.212473801508708,31.586334234999136,43.50342880858964,3.700660457570268
19,-491.22454070033143,-2.7128245346615385,106.94178755692933,346.90033920829484,35.805582401591536,111.50666371963663,34.701906415161126,-64.39719965562452,155.96896739808332,-200.17074353626182,-30.009506495275602,-70.03852641436032,163.9576581361508,50.5116251061764,93.74884098910685,68.82229305470076,16.79319121821007
20,-503.7440646285296,1.0665670557901512,113.01122889555637,359.79058653697996,37.04546957279728,82.81850674410167,36.64128594345354,-65.77220097917095,162.98524614453967,-216.42096821573193,-29.67335027435465,-87.36011217523203,163.60707634454263,51.21901258986789,99.88052765713964,75.69291007540133,24.55724660736567
21,-441.1657723245614,-60.97068784896947,56.49561564581332,132.35189684227376,-4.178125150329629,27.010277002839054,4.301914993216321,-98.32395134317468,118.91325214885993,-98.37840820610728,-72.21745973885585,-45.82331588876734,56.039506452166094,8.475298766015706,59.70352520182999,3.200565331760474,74.8104666795875
22,-446.77493629028953,-22.838484639025978,101.51308922089913,195.9218951346108,30.975187139160965,53.935830909931994,42.55340240376447,-52.18366166851744,118.04598135164755,-321.9410524325961,-25.84105435309159,-33.77710759532508,55.682016894844395,10.618059654576431,73.58338120271308,35.7347075544253,-28.430091214290016
23,-180.36497649557185,-0.9325759206718798,68.89416558095763,137.27631641514233,21.59190939405774,37.88902732297307,25.060243702674246,-40.2618160380554,106.89024425507588,-111.2142851935512,-11.143509059674326,13.276171754079748,58.34637063310047,26.56277156112889,71.57947991430194,24.611767290405716,-18.830771883366854
