,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16
1,193.4272696949385,5.696388234916689,-3.0367494492215283,-37.22019106245479,88.99541354033263,-15.041259901697229,-6.403382392696108,-33.37551800399357,80.47888504232084,69.48683318595445,38.740204706707146,46.11801077918009,-9.88494085715021,-2.494718676295113,-50.11205407861171,27.325118269033794
2,15.62526350253252,1.9937434870919375,-22.450352901376313,-22.726451917342885,114.91650342598336,-10.69746888619054,-6.351294156992689,86.87446678130895,74.44793894007043,48.33286967416127,39.24086461912168,28.727844116658005,10.481460539570149,15.530453847959858,-93.14184341046418,69.43883319223247
4,6.459584789196858,6.998779835054647,-18.54451358573798,-41.33515910664451,104.46765562651314,-3.6681600318523064,-27.58482287660896,-109.54399220182754,112.37844556843005,90.17444069003855,61.61424660322759,74.4797432090719,57.43344737076107,-6.630929112093133,-143.7469903070749,150.34487790504278
5,61.081104061304174,-19.52164623567744,-29.323405442013815,-25.384882424434497,48.046715174957505,-38.231864907365996,-5.889742840514609,-84.37325482442427,14.240230384383779,14.909420908691754,-40.43040839693493,-47.48442507652577,-71.52729731928899,-59.953970869194876,-132.47733647627754,-8.626762449580285
6,-0.7981430970002491,-5.123175108306298,-24.334967404047617,-46.175940124031364,99.98591327540073,-43.98002275959613,-35.47866055168066,-52.35257854834575,67.86530973741142,38.344004430479394,44.07812156399083,25.691154251060336,-88.0929996626894,-44.478405711067985,-68.56667611387276,27.30670468572433
7,12.201564171743948,8.438647039510467,8.245088445812796,-39.94348804605913,111.96895677250794,-0.6959779892440898,-21.431659258797705,-114.46697376869304,122.51873816015333,103.57134145457246,61.00788996565362,79.62560741180597,9.59558371493535,0.7321713284074365,-145.4237246766491,147.95843476387265
8,30.945275406216364,4.863841362412895,138.37948285578977,-14.934863886127204,83.4459081858132,-2.563245012421902,76.12120264117131,-35.219204646155724,76.14155440353208,96.79825538682854,38.768354035003476,40.302978983595914,-38.81790238418751,-20.435447325014483,-69.00207361494026,29.409950244201262
9,4.9909241533516155,6.834323374459855,-6.76679785548382,130.64494538556926,55.86225675283505,-5.186376195470127,16.260671532490353,-23.57134001007982,42.89892219437282,38.892672428723515,114.13798194261425,-1.9747540941114252,-21.73028865644993,-5.303864323573931,-35.04700963564728,36.14221334985053
11,3.1588678079708945,-4.447773179117078,1.2056059443641558,-21.8232003292866,43.451395128657666,-21.398010914779604,45.429301024859726,-13.094608456767595,20.49978467628592,9.7640456353717,33.3124750996569,4.5202281698448346,197.504932827273,-61.547669829383864,-63.59157363359261,36.18210151155663
12,30.318788615602585,2.9410545831941812,-75.16562911294567,-15.170996228806814,80.99040729030773,-16.751378387460065,124.17444949619947,-47.65357473472047,68.68758542685678,68.98757083150436,6.999107121445209,-0.1897553301548088,31.467809716714534,86.48520537833669,-52.520283543854035,12.74115428330232
13,13.484904372660225,0.24189050278002036,-22.544088564008778,-23.68325183257541,113.11209044565184,-18.269082065396415,-6.983485825956667,104.42681037473257,66.14813777971382,35.81555355475573,38.450788323207775,20.723439273046754,-7.527905979214112,7.7314350156872615,-75.0121444425197,47.06862741345081
