,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16
2,-981.0805049385012,-56.9259358366004,97.38845033531318,-385.2508140944535,588.7437425112314,243.884137780891,-64.4120731914389,210.03069764017357,-108.58355565957541,-166.1531031502507,482.8334562383508,89.18632232624203,-339.9371933934254,18.17756107457899,-134.36972968344915,-183.04632438382075
4,-1051.0206685637013,-13.289508306808933,95.67454927860203,-538.3770100805224,740.1286133751507,231.5310348396723,-103.32934024544863,225.93460516103627,-111.53181883577274,-192.88827030303315,477.95455758601605,202.646439128045,-344.4149166706201,-30.530104432567384,-140.79324359211012,-150.38304386705286
5,-769.4472873193982,-47.120838433796536,63.22253787190983,-405.42520568451005,606.6093275259801,193.3170268721682,-55.03094930153059,319.6709302223839,-75.26535309577582,-107.06448347314512,377.25533971768897,140.16995657227028,-254.86054048437018,9.004015536036409,-127.73162367664918,-103.77503405895327
6,-953.9069638481626,-10.516612874467935,108.80111672889298,-508.39030428358467,674.9778046341717,206.06711147014278,-95.64748015751175,217.93417892574618,-103.46406793604665,-181.11727854692725,431.85482064575103,203.895274405644,-307.84586556495884,-33.60439930107503,-118.68696372083313,-137.08561770010945
7,-924.8478241184316,-235.4110436590603,102.05198542337918,-485.2654443365395,641.0400854246656,216.11809546709136,-82.23117147699494,236.62994789381753,-102.15284077040866,-160.25824010552373,429.91894833359663,188.81565136714391,-291.2582378186122,-3.727362152075057,-100.78738003432383,-96.373187609015
8,-752.2342069767368,-107.15728140737217,79.36528334217905,-345.0769459406715,440.1495380468249,181.23539770444768,-42.56561533029189,176.6209896044272,-81.53179166875276,-141.10523642460805,355.5227022119229,159.2840312802306,-118.98811323281099,10.416750713306822,-113.045103870637,-59.018230267382584
9,-396.2774161496132,-41.00837319530747,180.03898289422196,-195.6853779406124,227.34234752320765,92.46753945499437,-21.988896833918467,142.7720366770926,-62.708934306582364,-93.57401326303746,217.05056594331572,82.51184049393464,-119.17604035232154,0.7364558054895264,-10.02692531330012,-92.12902727463683
11,-1010.4896788625313,-10.192025088038005,91.07110109903726,-541.1572042154993,736.2909235672138,220.62604933993552,-101.04186508283911,247.20238152198732,-103.36395768217865,-179.0591873858577,451.53526080971176,213.48468391418487,-326.2803391095619,-31.65671191731542,-139.85800512806023,-134.1372122472793
12,-712.3271730315511,-211.4727690489455,61.89150433316507,-413.4171966364184,485.4355773914008,154.55665794318867,-43.11750842941052,163.05763345561846,-87.49733502079376,-125.62052615628458,331.1809459630923,86.69266978802585,-237.57024154403211,26.863795411006752,-105.72860714361428,-170.39186306801503
13,-796.0442286271774,-51.45418289130946,72.18091276895036,-545.949344257466,431.6466167378452,164.12128810914047,-92.82389844802962,177.3794746743858,-105.02232437091605,-163.19024984831438,365.6853856186802,137.39686796026643,-281.47797275162503,17.196248635996007,-57.91446714715469,-125.12327021583327
14,-357.855858743759,-17.12984494518775,172.00061515119458,-200.43763891038432,279.3989365447851,77.3549841648813,-23.129127778989602,37.221640770437936,-9.709957673952944,-34.77003391195926,198.81375419828404,49.634228927579265,-113.93373493284572,10.305009232325977,-63.33363365176391,-29.758091277731275
15,-476.4453590165795,-50.45574484231299,44.567517273560895,-319.2680972643293,414.82448812581947,148.91890965366883,-41.04628434637917,173.2972666561654,-75.62172982196421,-114.81417624453623,285.6869292350425,116.51818557639932,-187.67128560995843,27.703964142420126,-77.70050738314329,-105.43331301281167
16,-893.5451187328378,-239.7603746109833,102.78759363005578,-464.47334868686926,595.3080202585596,208.83409140364986,-77.6991047344027,203.5016358693125,-101.79296754373642,-164.26518571337158,416.68175201994393,188.85356754264546,-257.8365348817459,-3.6935692806912233,-95.83970023734052,-85.91402449169159
17,-712.3271730315511,-211.4727690489455,61.89150433316507,-413.4171966364184,485.4355773914008,154.55665794318867,-43.11750842941052,163.05763345561846,-87.49733502079376,-125.62052615628458,331.1809459630923,86.69266978802585,-237.57024154403211,26.863795411006752,-105.72860714361428,-170.39186306801503
18,-612.1281017166765,-46.82082822811539,73.53498362447301,-357.1706064567616,423.27389137970556,154.7700442635206,-45.81487556136475,141.85556123562,-80.21638552036154,-109.5053284859026,307.74057662085585,117.06367438107911,-193.89295435451987,202.45514623471146,-103.32928450769347,-80.8333036007818
19,-931.8813513941176,-55.493881218908584,93.99019593681663,-366.2122763906455,589.8999006748779,229.3884256530972,-63.218703839155395,195.98097348146612,-107.57609594569229,-164.2838371214443,453.5164449543531,33.32928203197661,-319.27746190353633,15.890724564410336,-121.62542232222081,-169.79430906162779
20,-464.2571568869395,-22.72463093834909,46.10731911228974,-217.5534436339269,310.9288745208656,99.7977929802228,-36.79455846488373,96.93626275637425,-70.4689695903088,-90.95640865173492,222.06390899640826,53.18765237201198,-167.6238829828047,19.783102967473905,-44.434337692859586,160.6504792978177
21,-585.4575175466334,-42.664385636212764,102.36022988211356,-350.62516300688435,418.7236496625262,150.50037261029212,-42.03141226169667,127.26369805569229,-69.82776000030792,-95.4676813139212,294.5887223349515,109.92884736892472,-186.50474090544114,163.47531040830236,-110.36840542513087,-71.29097717867992
22,-653.1096974591014,-205.9098992902964,77.65762316764285,-356.3869797308037,439.8585897821264,135.4818070724639,-42.42491147010145,167.85431003618402,-81.32839379888776,-120.81551203455776,308.66756739100043,89.32628253011029,-220.95560707383248,22.651284459932146,-89.06330809383371,-166.18538490312585
23,-594.6298322203221,-41.48353116862209,58.35267001825338,-279.55978121156676,234.6992826598862,136.23798974900996,-37.23573236111655,147.0653905212699,-63.93032243669004,-95.28843027681839,272.6343959598493,123.53608005487914,-179.99501916581855,9.33231748103461,-90.37976348708963,-97.91839898915488
24,-575.0714897576484,-42.24374338077858,102.02720069956621,-345.04012836239826,410.1770261741608,147.89457340467771,-40.987892997504204,121.85784071667811,-65.3035066673602,-94.20292981261908,289.6081578405679,108.25363814209581,-183.1582768008019,163.47847124491958,-108.55039824908258,-70.45623730665243
25,-388.8371846911486,-46.460321375351654,59.70045054753498,-279.8201354948943,368.0505759319036,125.43490190265831,-38.477105975852574,116.37786594976365,-74.95637361502007,-111.5225344381596,272.05498163340343,78.859666929826,-186.917576029962,-12.788880498072727,-65.78579117440712,-89.95496870774831
