,emotion,model,total_difference,rank,mean_score,z_diff,strength
76,Anger,gpt-5.2-chat-latest,3.393809035,2,0.298398169,0.504597027,Strong/Divergent
77,Surprise,gpt-5,3.380853249,3,2.427002288,0.493809566,
78,Surprise,gpt-5.2-chat-latest,3.377121354,4,2.39221968,0.490702255,
79,Interest,gpt-5-nano,3.36339221,1,9.777574371,0.479270867,
80,Boredom,gpt-5.1-chat-latest,3.361654969,1,0.665446224,0.477824377,
81,Admiration,gpt-5.2-chat-latest,3.353360014,7,0.600457666,0.470917694,
82,Pride,chatgpt-4o-latest,3.351092534,3,0.192677346,0.469029707,
83,Anger,gpt-5.2-pro,3.340876317,3,0.207322654,0.460523312,
84,Awkwardness,gpt-5.2-chat-latest,3.334390735,4,0.599542334,0.45512318,
85,Admiration,chatgpt-4o-latest,3.316852138,1,2.729061785,0.440519903,
86,Boredom,gpt-5.2-pro,3.300491455,3,0.391762014,0.426897401,
87,Awkwardness,gpt-5,3.274802331,6,0.569336384,0.405507697,
88,Surprise,gpt-5.1-chat-latest,3.257413905,6,1.645308924,0.391029458,
89,Calmness,gpt-5-nano,3.246232155,1,6.416475973,0.381719124,
90,Satisfaction,gpt-5-mini,3.245755164,4,0.386270023,0.381321964,
91,Admiration,gpt-5-mini,3.237068158,2,2.16201373,0.374088846,
92,Disappointment,gpt-5.2-pro,3.228635153,4,0.038901602,0.367067218,
93,Sympathy,gpt-5.2-chat-latest,3.221289625,3,1.276430206,0.360951063,
94,Satisfaction,gpt-5.1-chat-latest,3.214066584,6,0.277345538,0.354936894,
95,Satisfaction,gpt-5.2-chat-latest,3.21335275,2,0.418764302,0.35434253,
96,Admiration,gpt-5.2-pro,3.197474612,6,0.745995423,0.341121812,
97,Satisfaction,gpt-5,3.181160872,3,0.413729977,0.327538396,
98,Satisfaction,chatgpt-4o-latest,3.160658189,1,0.60228833,0.310467114,
99,Surprise,gpt-5.2-pro,3.158568525,2,2.756521739,0.308727183,
100,Disgust,gpt-5-nano,3.117038782,7,0.949199085,0.274148002,
101,Triumph,gpt-5.2-pro,3.110320709,3,0.319908467,0.268554288,
102,Interest,chatgpt-4o-latest,3.098243338,7,2.016933638,0.258498228,
103,Sympathy,gpt-5.2-pro,3.05776967,2,1.476887872,0.224798373,
104,Triumph,gpt-5-mini,3.04657283,5,0.253546911,0.215475474,
105,Sexual-Desire,gpt-5.1-chat-latest,3.041921662,6,0.590846682,0.211602742,
106,Sympathy,gpt-5-mini,3.018634314,1,1.527231121,0.192212846,
107,Triumph,gpt-5,2.999419386,2,0.406864989,0.176213794,
108,Boredom,chatgpt-4o-latest,2.976365408,6,0.125400458,0.15701821,
109,Boredom,gpt-5,2.976302185,2,0.435240275,0.156965568,
110,Sympathy,gpt-5,2.974101294,4,1.254919908,0.155133026,
111,Admiration,gpt-5,2.951193185,4,1.048970252,0.136058897,
112,Admiration,gpt-5.1-chat-latest,2.923862531,5,0.867276888,0.113302396,
113,Triumph,gpt-5.2-chat-latest,2.895522574,4,0.309839817,0.089705512,
114,Sympathy,gpt-5.1-chat-latest,2.884197264,5,1.252631579,0.080275645,
115,Joy,gpt-5-nano,2.868322058,1,9.251716247,0.067057369,
116,Boredom,gpt-5.2-chat-latest,2.855036103,4,0.313043478,0.055994996,
117,Nostalgia,gpt-5.1-chat-latest,2.833353686,6,0.115331808,0.037941424,
118,Sadness,chatgpt-4o-latest,2.79569703,6,0.345537757,0.006587116,
119,Satisfaction,gpt-5.2-pro,2.794688641,5,0.351487414,0.005747495,
120,Boredom,gpt-5-mini,2.785795771,5,0.149656751,-0.001657033,
121,Sadness,gpt-5.2-chat-latest,2.754623636,2,0.427459954,-0.027612092,
122,Adoration,gpt-5.2-chat-latest,2.748207978,6,0.641189931,-0.032954004,
123,Sexual-Desire,chatgpt-4o-latest,2.73840853,5,0.832494279,-0.041113382,
124,Excitement,gpt-5-nano,2.730044172,4,3.203203661,-0.048077853,
125,Amusement,gpt-5-nano,2.709505657,7,5.705720824,-0.065178971,
126,Envy,chatgpt-4o-latest,2.701488843,1,0.005034325,-0.071854063,
127,Pride,gpt-5.2-chat-latest,2.700734807,2,0.340503432,-0.072481901,
128,Pride,gpt-5-mini,2.682051245,1,0.357894737,-0.088038517,
129,Calmness,gpt-5.1-chat-latest,2.680701994,2,3.64805492,-0.089161953,
130,Pride,gpt-5.2-pro,2.667099166,4,0.123112128,-0.100488165,
131,Nostalgia,gpt-5.2-pro,2.622952978,4,0.194050343,-0.137245893,
132,Fear,gpt-5-nano,2.615726197,1,7.326315789,-0.143263175,
133,Pride,gpt-5.1-chat-latest,2.606106661,6,0.090160183,-0.151272752,
134,Aesthetic-Appreciation,chatgpt-4o-latest,2.598325577,3,3.765217391,-0.157751567,
135,Calmness,gpt-5.2-pro,2.596177459,5,2.28604119,-0.159540169,
136,Sadness,gpt-5-mini,2.589357274,1,0.480549199,-0.165218905,
137,Nostalgia,gpt-5-mini,2.567287134,1,0.44576659,-0.18359531,
138,Awe,gpt-5-nano,2.554147159,1,6.702059497,-0.194536133,
139,Interest,gpt-5-mini,2.549317351,6,4.504347826,-0.198557607,
140,Calmness,gpt-5-mini,2.538476244,7,1.650800915,-0.207584309,
141,Horror,gpt-5-mini,2.5012393,6,1.464530892,-0.23858915,
142,Aesthetic-Appreciation,gpt-5.2-pro,2.500925199,6,2.499771167,-0.238850681,
143,Adoration,gpt-5-mini,2.499467474,1,2.011899314,-0.240064436,
144,Nostalgia,gpt-5,2.487129875,5,0.163386728,-0.250337173,
145,Calmness,chatgpt-4o-latest,2.462709524,6,1.702974828,-0.270670449,
146,Calmness,gpt-5,2.438838065,4,2.307093822,-0.290546698,
147,Adoration,gpt-5.1-chat-latest,2.425045777,5,1.013272311,-0.302030661,
148,Aesthetic-Appreciation,gpt-5.2-chat-latest,2.419329497,5,2.987185355,-0.306790244,
149,Aesthetic-Appreciation,gpt-5-mini,2.412584243,2,4.312128146,-0.31240659,
150,Interest,gpt-5.1-chat-latest,2.380160356,4,6.824256293,-0.339403903,
151,Calmness,gpt-5.2-chat-latest,2.375116548,3,2.657665904,-0.343603561,
152,Horror,chatgpt-4o-latest,2.365736264,4,1.922654462,-0.351413929,
153,Sadness,gpt-5.2-pro,2.365652916,5,0.348283753,-0.351483327,
154,Horror,gpt-5.2-pro,2.363471402,5,1.919908467,-0.353299735,
155,Interest,gpt-5.2-chat-latest,2.343166654,5,5.425171625,-0.370206211,
156,Nostalgia,chatgpt-4o-latest,2.342840849,2,0.382608696,-0.370477488,
157,Adoration,gpt-5,2.319470482,3,1.647139588,-0.389936509,
158,Adoration,chatgpt-4o-latest,2.311777064,2,1.965675057,-0.39634233,
159,Horror,gpt-5.2-chat-latest,2.302601955,1,2.549199085,-0.403981862,
160,Aesthetic-Appreciation,gpt-5.1-chat-latest,2.283127806,1,4.798627002,-0.420196749,
161,Adoration,gpt-5.2-pro,2.270649329,4,1.584439359,-0.430586785,
162,Interest,gpt-5.2-pro,2.269921088,3,7.201830664,-0.431193145,
163,Sexual-Desire,gpt-5-mini,2.262535777,3,1.078718535,-0.437342425,
164,Horror,gpt-5,2.256370713,3,2.052631579,-0.442475683,
165,Sadness,gpt-5.1-chat-latest,2.249690469,3,0.399542334,-0.448037898,
166,Horror,gpt-5.1-chat-latest,2.204897141,2,2.156521739,-0.48533446,
167,Aesthetic-Appreciation,gpt-5,2.197973073,4,3.302059497,-0.491099691,
168,Pride,gpt-5,2.192965429,5,0.118535469,-0.495269239,
169,Excitement,chatgpt-4o-latest,2.18796639,7,1.837070938,-0.499431622,
170,Sadness,gpt-5,2.175513482,7,0.291075515,-0.509800367,
171,Interest,gpt-5,2.171889896,2,8.507093822,-0.512817498,
172,Sexual-Desire,gpt-5.2-pro,2.159461715,2,1.183981693,-0.523165656,
173,Sexual-Desire,gpt-5.2-chat-latest,2.134558455,1,1.549656751,-0.54390102,
174,Nostalgia,gpt-5.2-chat-latest,2.105433026,3,0.343249428,-0.568151916,
175,Joy,gpt-5-mini,2.082715486,5,3.511212815,-0.58706737,
176,Joy,chatgpt-4o-latest,2.054932421,7,2.556521739,-0.610200565,
177,Awe,gpt-5.1-chat-latest,1.951421079,7,2.26590389,-0.696387891,
178,Sexual-Desire,gpt-5,1.939253418,4,1.008237986,-0.70651913,
179,Disgust,gpt-5-mini,1.928937853,6,1.695194508,-0.715108246,
180,Joy,gpt-5,1.907767668,6,3.250800915,-0.732735316,
181,Joy,gpt-5.2-pro,1.907692272,3,3.713043478,-0.732798094,
182,Romance,gpt-5-nano,1.902126445,6,1.338672769,-0.737432405,
183,Joy,gpt-5.2-chat-latest,1.891998568,2,5.076430206,-0.745865245,
184,Fear,gpt-5,1.883588423,7,3.958352403,-0.752867839,
185,Awe,chatgpt-4o-latest,1.86752403,6,2.94187643,-0.76624364,
186,Fear,gpt-5-mini,1.857137294,6,4.733180778,-0.774892015,
187,Excitement,gpt-5-mini,1.837356219,5,2.970251716,-0.791362461,
188,Excitement,gpt-5.2-chat-latest,1.814184713,2,3.23020595,-0.810655904,
189,Disgust,gpt-5.2-chat-latest,1.801524107,2,2.257208238,-0.821197588,
190,Joy,gpt-5.1-chat-latest,1.796285666,4,3.51624714,-0.825559305,
191,Awe,gpt-5-mini,1.766248338,4,3.30389016,-0.850569481,
192,Excitement,gpt-5.2-pro,1.756033918,1,3.355148741,-0.859074381,
193,Fear,gpt-5.2-pro,1.74921499,5,5.058581236,-0.864752069,
194,Awe,gpt-5.2-chat-latest,1.741630596,2,4.334553776,-0.871067113,
195,Awe,gpt-5.2-pro,1.705871683,3,3.472311213,-0.900841291,
196,Awe,gpt-5,1.692854452,5,3.095194508,-0.911679913,
197,Fear,chatgpt-4o-latest,1.688003932,4,5.821967963,-0.915718633,
198,Disgust,chatgpt-4o-latest,1.660120822,5,1.993135011,-0.93893513,
199,Disgust,gpt-5,1.645008751,3,2.20228833,-0.951517992,
200,Excitement,gpt-5.1-chat-latest,1.633682387,6,2.694736842,-0.960948737,
201,Fear,gpt-5.1-chat-latest,1.604948037,2,6.538215103,-0.984874006,
202,Disgust,gpt-5.1-chat-latest,1.604735999,1,2.66819222,-0.985050557,
203,Amusement,chatgpt-4o-latest,1.595501526,1,12.77254005,-0.992739516,
204,Excitement,gpt-5,1.582898896,3,3.229748284,-1.003232927,
205,Disgust,gpt-5.2-pro,1.575692705,4,2.172997712,-1.009233065,
206,Amusement,gpt-5-mini,1.574418739,2,10.08604119,-1.010293815,
207,Fear,gpt-5.2-chat-latest,1.566551343,3,5.871395881,-1.016844497,
208,Amusement,gpt-5.2-pro,1.500585721,6,8.102974828,-1.071769884,
209,Amusement,gpt-5.2-chat-latest,1.466997471,5,8.506636156,-1.099736688,
210,Amusement,gpt-5.1-chat-latest,1.461372243,4,8.97208238,-1.104420458,
211,Amusement,gpt-5,1.418135997,3,9.989473684,-1.140420537,
212,Craving,gpt-5.1-chat-latest,1.258266519,6,1.013272311,-1.273533706,
213,Craving,chatgpt-4o-latest,1.197459997,3,1.128146453,-1.324163438,
214,Romance,gpt-5.2-chat-latest,1.144503947,7,1.332265446,-1.36825658,
215,Craving,gpt-5,1.115692095,2,1.14187643,-1.392246382,
216,Craving,gpt-5-mini,1.109748526,1,1.153318078,-1.397195214,
217,Craving,gpt-5.2-pro,1.097881559,4,1.091533181,-1.407076085,
218,Craving,gpt-5.2-chat-latest,1.055387963,5,1.054462243,-1.442457806,
219,Romance,gpt-5-mini,0.993411604,1,1.657665904,-1.494061586,
220,Romance,gpt-5.1-chat-latest,0.952846396,4,1.45812357,-1.527837661,
221,Romance,chatgpt-4o-latest,0.941701231,5,1.366132723,-1.537117532,
222,Envy,gpt-5.2-chat-latest,0.900496281,3,0.004576659,-1.57142628,
223,Envy,gpt-5-mini,0.900496281,3,0.004576659,-1.57142628,
224,Envy,gpt-5.2-pro,0.900496281,3,0.004576659,-1.57142628,
225,Romance,gpt-5,0.881430554,2,1.553318078,-1.5873011,
226,Romance,gpt-5.2-pro,0.80823396,3,1.525400458,-1.648247259,
227,Guilt,gpt-5.1-chat-latest,0,4,0,-2.321212388,
228,Guilt,chatgpt-4o-latest,0,4,0,-2.321212388,
229,Envy,gpt-5.1-chat-latest,0,6,0,-2.321212388,
230,Envy,gpt-5,0,6,0,-2.321212388,
231,Guilt,gpt-5,0,4,0,-2.321212388,
232,Contempt,gpt-5.2-pro,0,7,0,-2.321212388,
233,Envy,gpt-5-nano,0,6,0,-2.321212388,
234,Guilt,gpt-5-nano,0,4,0,-2.321212388,
235,Guilt,gpt-5-mini,0,4,0,-2.321212388,
236,Guilt,gpt-5.2-chat-latest,0,4,0,-2.321212388,
237,Guilt,gpt-5.2-pro,0,4,0,-2.321212388,
,,,,,,,
,,,,,,,
,Disappointment,gpt-5-mini,0.692 ,4.154241608,,,
,Empathic-Pain,gpt-5-mini,0.685 ,4.109980045,,,
,Confusion,chatgpt-4o-latest,0.684 ,4.10493832,,,
,Contempt,gpt-5-mini,0.664 ,3.984252583,,,
,Triumph,chatgpt-4o-latest,0.639 ,3.834555319,,,
,Awkwardness,gpt-5.1-chat-latest,0.622 ,3.730185422,,,
,Relief,chatgpt-4o-latest,0.604 ,3.626434588,,,
,Anger,gpt-5-mini,0.589 ,3.534975732,,,
,Entrancement,gpt-5.2-pro,0.588 ,3.527969684,,,
,Anxiety,gpt-5.2-pro,0.585 ,3.51247334,,,
,Surprise,gpt-5-mini,0.581 ,3.484935824,,,
