,emotion,model,total_difference,rank,mean_score
80,Boredom,gpt-5.1-chat-latest,3.3616549692983044,1.0,0.6654462242562929
81,Admiration,gpt-5.2-chat-latest,3.353360013824495,7.0,0.6004576659038902
82,Pride,chatgpt-4o-latest,3.351092533747933,3.0,0.19267734553775745
83,Anger,gpt-5.2-pro,3.3408763173369502,3.0,0.20732265446224257
84,Awkwardness,gpt-5.2-chat-latest,3.3343907352219726,4.0,0.5995423340961098
85,Admiration,chatgpt-4o-latest,3.3168521383072527,1.0,2.7290617848970253
86,Boredom,gpt-5.2-pro,3.300491455431337,3.0,0.3917620137299771
87,Awkwardness,gpt-5,3.2748023313638406,6.0,0.5693363844393593
88,Surprise,gpt-5.1-chat-latest,3.257413905097206,6.0,1.6453089244851258
89,Calmness,gpt-5-nano,3.246232154992178,1.0,6.416475972540046
90,Satisfaction,gpt-5-mini,3.245755164281935,4.0,0.3862700228832952
91,Admiration,gpt-5-mini,3.2370681580638334,2.0,2.1620137299771165
92,Disappointment,gpt-5.2-pro,3.2286351532407744,4.0,0.038901601830663615
93,Sympathy,gpt-5.2-chat-latest,3.221289625256623,3.0,1.2764302059496568
94,Satisfaction,gpt-5.1-chat-latest,3.214066583585071,6.0,0.2773455377574371
95,Satisfaction,gpt-5.2-chat-latest,3.213352750090268,2.0,0.41876430205949655
96,Admiration,gpt-5.2-pro,3.197474611929713,6.0,0.7459954233409611
97,Satisfaction,gpt-5,3.181160871556198,3.0,0.4137299771167048
98,Satisfaction,chatgpt-4o-latest,3.1606581894986423,1.0,0.6022883295194508
99,Surprise,gpt-5.2-pro,3.158568525203324,2.0,2.756521739130435
100,Disgust,gpt-5-nano,3.1170387824583043,7.0,0.9491990846681923
101,Triumph,gpt-5.2-pro,3.11032070855245,3.0,0.31990846681922197
102,Interest,chatgpt-4o-latest,3.0982433383834094,7.0,2.016933638443936
103,Sympathy,gpt-5.2-pro,3.057769670469188,2.0,1.476887871853547
104,Triumph,gpt-5-mini,3.0465728298330035,5.0,0.25354691075514874
105,Sexual-Desire,gpt-5.1-chat-latest,3.041921662069339,6.0,0.5908466819221968
106,Sympathy,gpt-5-mini,3.0186343144607983,1.0,1.5272311212814644
107,Triumph,gpt-5,2.999419385900029,2.0,0.4068649885583524
108,Boredom,chatgpt-4o-latest,2.9763654083570366,6.0,0.12540045766590388
109,Boredom,gpt-5,2.9763021849288798,2.0,0.43524027459954234
110,Sympathy,gpt-5,2.9741012943676868,4.0,1.2549199084668192
111,Admiration,gpt-5,2.951193185498199,4.0,1.0489702517162471
112,Admiration,gpt-5.1-chat-latest,2.9238625314624973,5.0,0.8672768878718535
