,chatgpt-4o-latest / gpt-5,chatgpt-4o-latest / gpt-5.2-pro,chatgpt-4o-latest / gpt-5.1-chat-latest,chatgpt-4o-latest / gpt-5.2-chat-latest,chatgpt-4o-latest / gpt-5-mini,chatgpt-4o-latest / gpt-5-nano,gpt-5 / gpt-5.2-pro,gpt-5 / gpt-5.1-chat-latest,gpt-5 / gpt-5.2-chat-latest,gpt-5 / gpt-5-mini,gpt-5 / gpt-5-nano,gpt-5.2-pro / gpt-5.1-chat-latest,gpt-5.2-pro / gpt-5.2-chat-latest,gpt-5.2-pro / gpt-5-mini,gpt-5.2-pro / gpt-5-nano,gpt-5.1-chat-latest / gpt-5.2-chat-latest,gpt-5.1-chat-latest / gpt-5-mini,gpt-5.1-chat-latest / gpt-5-nano,gpt-5.2-chat-latest / gpt-5-mini,gpt-5.2-chat-latest / gpt-5-nano,gpt-5-mini / gpt-5-nano,min,max,1ÇÃå¬êî
1374,0.038831219,0.615532488,0.61514802,0.807381776,0.034986544,1,0.807766244,0.807766244,1,0.038446751,0.999615532,0.000384468,0.034986544,0.807766244,0.980776624,0.038446751,0.803921569,1,0.996155325,0.807766244,0.999615532,0.000384468,1,3
1375,0.038831219,0.038831219,0.038831219,0.038831219,0.038831219,0.038831219,0.038831219,0.000384468,0.000384468,0,0.034986544,0.038831219,0.034986544,0.038831219,0.000384468,0.000384468,0.000384468,0.034986544,0.000384468,0.031141869,0.034986544,0,0.038831219,0
1376,1,1,1,1,1,1,0.034986544,0.615532488,0.038831219,0.61514802,0.615532488,0.788542868,0.000384468,0.788542868,0.788542868,0.807766244,0.000384468,0.000384468,0.807766244,0.807766244,0.000384468,0.000384468,1,6
1378,0.803921569,0.803921569,0.034986544,0.803921569,0.807766244,0.961553249,0,0.61514802,0,0.000384468,0.034986544,0.61514802,0,0.000384468,0.034986544,0.61514802,0.615532488,0.803921569,0.000384468,0.034986544,0.038831219,0,0.961553249,0
1379,0.034986544,0.034986544,0.034986544,0.034986544,0.034986544,0.034986544,0.000384468,1.11E-16,0.000384468,0.000384468,0.000384468,0.000384468,0.000384468,0.000384468,0.000384468,0.000384468,0.000384468,0.000384468,0,0.000384468,0.000384468,0,0.034986544,0
1380,0.803921569,0.784698193,0.784698193,0.784698193,0.61514802,0.976931949,0.000384468,0.000384468,0.000384468,0.034986544,0.788542868,0,0,0.031141869,0.788542868,0,0.031141869,0.788542868,0.031141869,0.788542868,0.961553249,0,0.976931949,0
1381,0.863785255,0.728114281,0.86405714,0.728114281,0.728114281,0.86405714,0.038831219,0.000384468,0.038831219,0.034986544,0.000384468,0.038446751,0,0.000384468,0.038831219,0.038446751,0.034986544,0.000384468,0.000384468,0.038831219,0.034986544,0,0.86405714,0
1382,0.038446751,0.000384468,0.038831219,0,0.000384468,0.000384468,0.038831219,0.034986544,0.038446751,0.034986544,0.034986544,0.034986544,0.000384468,0.000384468,0.000384468,0.038831219,0.038446751,0.038446751,0.000384468,0.000384468,0,0,0.038831219,0
1383,0.000384468,0.000384468,0.000384468,0.000384468,0.000384468,0.615532488,0,0,0,0.000384468,0.615532488,0,0,0.000384468,0.615532488,0,0.000384468,0.615532488,0.000384468,0.615532488,0.615532488,0,0.615532488,0
1384,0.976931949,0.99231065,0.976931949,0.942329873,0.999615532,0.980776624,0.000384468,0,0.788542868,0.034986544,0.807766244,0.000384468,0.784698193,0.034986544,0.807766244,0.788542868,0.034986544,0.807766244,0.961553249,0.038831219,0.942329873,0,0.999615532,0
1386,0.038446751,0.976931949,0.976931949,0.807381776,0.034986544,0.034986544,0.784698193,0.784698193,0.61514802,0.000384468,0.034986544,0,0.031141869,0.788542868,0.942329873,0.031141869,0.788542868,0.942329873,0.615532488,0.803921569,0.038831219,0,0.976931949,0
1387,0.000384468,0.000384468,0,0,0,0.976931949,0,0.000384468,0.000384468,0.000384468,0.99231065,0.000384468,0.000384468,0.000384468,0.99231065,0,0,0.976931949,0,0.976931949,0.976931949,0,0.99231065,0
1388,0,0.031141869,0,0.038446751,0.034986544,0.038831219,0.031141869,0,0.038446751,0.034986544,0.038831219,0.031141869,0.034986544,0.000384468,0.038831219,0.038446751,0.034986544,0.038831219,0.031141869,0.034986544,0.038446751,0,0.038831219,0
1389,0.000384468,0.803921569,0.034986544,0.034986544,0.034986544,0.038831219,0.803921569,0.034986544,0.031141869,0.034986544,0.034986544,0.807381776,0.807381776,0.807381776,0.807766244,0.038446751,1.11E-16,0.038831219,0.038446751,0.000384468,0.038831219,1.11E-16,0.807766244,0
1391,0.000384468,1,0.038831219,1,0.980776624,1,0.996155325,0.038446751,0.980776624,0.961553249,1,0.803921569,0.615532488,0.615532488,0.996155325,0.942329873,0.923106498,1,0.000384468,1,1,0.000384468,1,6
1392,0.038831219,0.807766244,0.000384468,0.038831219,0.807766244,1,0.615532488,0.038831219,0.000384468,0.61514802,0.803921569,0.807766244,0.61514802,0.000384468,0.038831219,0.038831219,0.807766244,1,0.615532488,0.807766244,0.034986544,0.000384468,1,2
1393,0.976931949,0,0,0,0,0.61514802,0.976931949,0.976931949,0.976931949,0.976931949,0.961553249,0,0,0,0.61514802,0,0,0.61514802,0,0.61514802,0.61514802,0,0.976931949,0
1395,0.980776624,0.615532488,0.615532488,0.807766244,0.000384468,0.034986544,0.99231065,0.99231065,1,0.976931949,0.942329873,1.11E-16,0.038831219,0.61514802,0.784698193,0.038831219,0.61514802,0.784698193,0.807766244,0.980776624,0.031141869,1.11E-16,1,1
1396,0.031141869,0.996155325,0.031141869,0.038446751,0.031141869,0.961553249,0.961553249,0,0.034986544,0,0.788542868,0.961553249,0.803921569,0.961553249,0.615532488,0.034986544,0,0.788542868,0.034986544,0.923106498,0.788542868,0,0.996155325,0
1397,0.980776624,1,0.038831219,1,1,0.980776624,0.807766244,0.784698193,0.807766244,0.980776624,0.807381776,0.961553249,0.000384468,0.034986544,0.000384468,0.961553249,0.996155325,0.942329873,0.034986544,0.000384468,0.034986544,0.000384468,1,3
1398,0.000384468,0.615532488,0.615532488,0.615532488,0.61514802,0.615532488,0.61514802,0.61514802,0.615532488,0.615532488,0.61514802,1.11E-16,0.000384468,0.000384468,1.11E-16,0.000384468,0.000384468,1.11E-16,0.000384468,0.000384468,0.000384468,1.11E-16,0.615532488,0
1400,0.000384468,0.000384468,0.000384468,0.000384468,0.000384468,0.000384468,0.000384468,0.000384468,0.000384468,0.000384468,0.000384468,0.000384468,0.000384468,1.11E-16,0.000384468,0,0.000384468,0,0.000384468,0,0.000384468,0,0.000384468,0
